Sentiment,tweet_tokens_stemmed
negative,"['manakah', 'ksatria', 'samurai', 'prajurit', 'pembangun', 'semangat', 'harapan', 'pahlawan', 'dinantinantikan', 'rakyat']"
negative,"['arena', 'tabir', 'kegelapan', 'tiada', 'harapan', 'menyergap', 'rakyat', 'kemana', 'rakyat', 'mencari', 'ketulusan']"
negative,"['isu', 'diangkat', 'video', 'dishare', 'video', 'disebar', 'buzzer', 'jelang', 'disebar']"
negative,"['bu', 'carik', 'coblos', 'kemarin', 'piss']"
negative,"['awas', 'ye', 'dukungan', 'suara', 'pendukung']"
negative,"['pelaku', 'pengirim', 'sms', 'gelap', 'antasari', 'azhar']"
negative,"['antasari', 'diancam', 'harry', 'tanoe']"
negative,"['tuduhan', 'kerap', 'dilontarkan', 'anak', 'ingusan', 'mayor', 'terdengar', 'dudah', 'berubah', 'sanjungan']"
negative,"['joke', 'terbaik', 'pilkada', 'serentak', 'pku', 'pari']"
negative,"['curiga', 'saldonya', 'kenti', 'blt', 'berbuat', 'curiga', 'mekanismenya']"
negative,"['ahoker', 'bully']"
negative,"['sayang', 'mayor', 'dikader', 'pemimpin', 'sma', 'taruna', 'beliau', 'teratas', 'pilihan']"
negative,"['setuju', 'bangett', 'bersyukur', 'kemrin', 'banjir', 'sibuk', 'mencari', 'pembelaan', 'sombong']"
negative,"['pakai', 'sedotan', 'sodetan', 'versi']"
negative,"['hellloooo', 'suara', 'rakyat', 'ngerti', 'suara', 'rakyat', 'suaranya', 'dek', 'ngopi']"
negative,"['cari', 'teman', 'pdhal', 'gubernur']"
negative,"['kesatria', 'lapang', 'dada', 'hoax', 'kalah', 'menang', 'ulama', 'bayaran']"
negative,"['agus', 'tersingkir', 'ahok', 'anies', 'rebutan', 'suara', 'ahy', 'kepentingan', 'kelompok']"
negative,"['kehilangan', 'kesempatan', 'menduduki', 'gubernur', 'dki']"
negative,"['konstituen', 'risih', 'mulutnya', 'ahok', 'pilih', 'anies', 'gerombolan', 'khilafah', 'dibelakangnya', 'memilih', 'ahok']"
negative,"['cari', 'teman', 'yeedan', 'gubernur', 'barutunggu', 'hasil', 'resmi', 'kpu', 'dengar', 'pernyataan']"
negative,"['blunder', 'hina', 'butuh', 'suara', 'ngemis', 'hina']"
negative,"['mencaci', 'maki', 'pepo', 'memo', 'hrs', 'mengemis', 'suara', 'hina']"
negative,"['golput', 'pemilih', 'nampaknya']"
negative,"['merhatiin', 'relawan', 'rehat', 'ganjal', 'islah', 'relawan']"
negative,"['pakar', 'mantan', 'sby', 'surat', 'anas', 'urbaningrum', 'jeruji', 'besi', 'sindiran', 'mantan']"
negative,"['sekeluarga', 'pemilih', 'program', 'sekeluarga', 'milih']"
negative,"['sylvi', 'aniessandiaga', 'basukidjarot', 'debat', 'pilkada', 'dki', 'jual', 'mimpi', 'gubernur']"
negative,"['bang', 'aji', 'disitu', 'kalah']"
negative,"['rendah', 'hati', 'pendukung', 'paslon', 'berat', 'hati', 'foto']"
negative,"['bangga', 'anak', 'memo']"
negative,"['pendukung', 'sulit', 'melupakan', 'bully']"
negative,['hancur']
negative,"['anggap', 'sebulan', 'dijual', 'pindah', 'tangan', 'elit', 'partai', 'gerindra', 'pks']"
negative,"['antasari', 'konferensi', 'pers', 'sby', 'sby', 'konferensi', 'pers', 'sby', 'rengekan', 'anak']"
negative,"['tim', 'tidur']"
negative,"['coba', 'beretika', 'dukungan', 'konstituen', 'setia', 'menipu', 'meme', 'berita', 'palsu', 'rachland', 'nashidik']"
negative,"['kasihan', 'menyadari', 'musuh', 'sarung', 'selfienya', 'motivasi', 'terselubung']"
negative,"['amieeennnnn', 'lupa', 'janji', 'manis', 'kampanye', 'mayor', 'sejati']"
negative,"['pilkada', 'dki', 'ahy', 'sby', 'target', 'hoax', 'fitnah', 'akunakun', 'pendukung', 'ahok']"
negative,"['ahy', 'mentah', 'dikarbit', 'demokrat', 'pilkada', 'dki', 'kemenangan', 'pemilu', 'memakai', 'sentimen', 'sara']"
negative,"['akibat', 'pernyataan', 'antasari', 'suara', 'ahy', 'melorot', 'pilkada', 'dki']"
negative,"['enam', 'kampanye', 'pilkada', 'kubu', 'ahy', 'pendukung', 'ahok', 'sibuk', 'serang', 'program', 'ahy', 'kampanye', 'program', 'ahok']"
negative,"['dicontohkan', 'ahy', 'pendukungnya', 'paska', 'putaran', 'pilkada', 'dki', 'jakarta', 'perentangan', 'tajam']"
negative,"['ahy', 'tim', 'berjalan', 'menjauh', 'hiruk', 'pikuk', 'pilkada', 'melanjutkan', 'perjalanan', 'politik', 'kecewa']"
negative,"['ahy', 'kalah', 'berpidato', 'timnya', 'terdiam', 'menangis', 'melepaskan', 'pilkada', 'dki']"
negative,"['sejujurnya', 'penilaian', 'subyektif', 'cepat', 'ahy', 'kalah', 'pilkada', 'modal', 'catatan', 'negatif']"
negative,"['tolak', 'bajingan', 'tengik', 'ahy', 'tukang', 'sogok', 'pemilih', 'bangsat', 'ahy', 'sungguh', 'berbahaya']"
negative,"['tolak', 'ahy', 'berpolitik', 'membawa', 'agama']"
negative,"['pendukung', 'ahy', 'terima', 'hasil', 'surveyharusnya', 'tolak', 'acuan', 'semangat']"
negative,"['sahsah', 'tolak', 'ukur', 'kedewasaan', 'warga', 'dki', 'ahy', 'menang', 'pola', 'pikir', 'warga', 'primitif']"
negative,"['suara', 'warga', 'dihargai', 'sembako', 'tolak', 'ahy', 'penyuapan', 'warga']"
negative,"['ahy', 'pilkada']"
negative,"['tinggal', 'seleksi', 'tendemnya', 'pilkada', 'dki', 'ahy', 'kalah', 'tendemnya', 'salah', 'pilih', 'mengurangi', 'kualitas', 'ahy']"
negative,"['segelintir', 'pendukung', 'ahy', 'ditikung', 'tweet', 'akun', 'resmi', 'parpol', 'pendukung', 'aniessandi']"
negative,"['ahy', 'menanggung', 'akibat', 'cuitan', 'ayahnya', 'produktif']"
negative,"['kering', 'darah', 'menghisap', 'darah', 'mumpung', 'stok', 'darahnya', 'bergudanggudang', 'darah', 'hantu', 'diminum', 'setan']"
negative,"['reaksi', 'pendukung', 'ahy', 'bersikap', 'baper', 'pecundang', 'ajang', 'pilkada']"
negative,"['suara', 'bergetar', 'ahy', 'maaf', 'kecewakan', 'pendukungnya']"
negative,"['ahy', 'kalah', 'kandang', 'respon', 'tetangga']"
negative,"['lini', 'pertahanan', 'ahy', 'rapuh', 'debat', 'efek', 'aksi', 'efek', 'antasari', 'efek']"
negative,"['gagal', 'pilkada', 'dki', 'jakarta', 'ahy', 'diisukan', 'maju', 'pilgub', 'jatim']"
negative,"['ahok', 'melejit', 'anies', 'menanjak', 'ahy', 'mengapung']"
negative,"['berdasarkan', 'survey', 'ahy', 'selamat']"
negative,"['meninggalkan', 'zona', 'aman', 'nyaman', 'kemajuan', 'jakarta', 'hasil', 'sesuai', 'harapan', 'ahy']"
negative,"['kasihan', 'ahy', 'kalah', 'umroh', 'dibantu', 'doa', 'juta', 'umatternyata', 'allah', 'netral', 'berpolitik']"
negative,"['jual', 'baju', 'bekas', 'ahy', 'pm', 'info']"
negative,"['ahy', 'vocalis', 'band', 'rock', 'yaaaa', 'lompat', 'lompat', 'mulu', 'bang', 'kerjaannya']"
negative,"['kasian', 'nasib', 'ahy', 'karir', 'tni', 'tamat', 'nafsu', 'pepo', 'cepat', 'parpol', 'dagang', 'ak']"
negative,"['sby', 'ahy', 'kalah', 'garagara', 'antasari', 'survey', 'menunjukan', 'ahy', 'merosot', 'elektabilitasnya']"
negative,"['presiden', 'tv', 'rusak', 'ahy', 'hasil', 'qc']"
negative,"['pepo', 'prihatin', 'ahy', 'pecundang']"
negative,"['selamat', 'ahy', 'rakyat', 'mundur', 'tni', 'kalah', 'pilkada', 'dki']"
negative,"['heeebohhhhagus', 'sylvi', 'kalah', 'tps', 'tmpat', 'hak', 'pilihnya']"
negative,"['pilih', 'semoga', 'demokrat', 'dukung', 'ahok']"
negative,"['demokrat', 'ahok', 'gerindra', 'tantangan', 'bermain', 'politik', 'kotor']"
negative,"['mesin', 'robot', 'sylvi', 'lupa', 'dimatiin', 'trending', 'topik']"
negative,"['pendukung', 'mari', 'rapatkan', 'barisan', 'paslon', 'buang', 'issu', 'miring', 'paslon', 'dipimpin', 'terdakwa', 'simulut', 'ember']"
negative,"['rakyat', 'menangis', 'kalah', 'aspek', 'pribadi', 'kepentingan', 'rakyat']"
negative,"['hati', 'caper', 'ahysilvy', 'protes', 'face', 'with', 'stuckout', 'tounges', 'rolling', 'floor', 'laughing', 'rolling', 'floor', 'laughing']"
negative,"['ahy', 'menang', 'pilgub', 'dki', 'ngumpulin', 'bola', 'dragon', 'ball', 'rolling', 'floor', 'laughing', 'rolling', 'floor', 'laughing']"
negative,"['ahy', 'inget', 'norman', 'kamaru', 'ahy', 'jualan', 'bubur', 'haji', 'smiling', 'face', 'with', 'open', 'mouth', 'smiling', 'eyes']"
negative,"['ahy', 'tersingkir', 'persevering', 'face', 'persevering', 'face', 'dilanjuntukan', 'putaran', 'ahokdjarot', 'aniessandi']"
negative,"['ahy', 'nyungsep', 'bapaknya', 'menyarankan', 'coblos', 'smiling', 'face', 'with', 'open', 'mouth', 'smiling', 'eyes']"
negative,"['nyoblos', 'berkabung', 'tongue', 'memakai', 'baju', 'hitamatau', 'sedih', 'smiling', 'face', 'with', 'open', 'mouth', 'smiling', 'eyes', 'tv']"
negative,"['ahy', 'cemas', 'situasi', 'sosial', 'pilkada', 'jakarta', 'pilkada', 'dki', 'jakarta', 'berdampak', 'negatif']"
negative,"['ahy', 'kalah', 'sisi', 'negatif', 'umat', 'islam', 'tertunda', 'menempatkan', 'pemimpin', 'sisi', 'positif', 'umat', 'islam', 'terhindar', 'hujat', 'buka', 'aib']"
negative,"['ahy', 'ahy', 'ngomong', 'karakter', 'barusan', 'omongkan', 'sisi', 'negatif', 'tongue', 'oncoming', 'fist']"
negative,"['ahy', 'membicarakan', 'negatif', 'jakarta', 'solusi', 'mengatasi', 'nol', 'thumbs', 'down']"
negative,"['kicauan', 'negatif', 'sby', 'diyakini', 'pengaruhi', 'elektabilitas', 'ahy', 'via']"
negative,"['alloh', 'tuhan', 'yme', 'ahy', 'didukung', 'senator', 'beraura', 'negatif']"
negative,"['menemukan', 'foto', 'lingkaran', 'ahy', 'penuh', 'integritas', 'kwalitas', 'negatif', 'waspada', 'waspada', 'thumbs', 'down']"
negative,"['ahy', 'sentimennya', 'negatif', 'wkwkwkface', 'with', 'stuckout', 'tounges']"
negative,"['senjata', 'makan', 'tuan', 'karma', 'kicauan', 'negatif', 'sby', 'diyakini', 'pengaruhi', 'elektabilitas', 'ahy', 'face', 'with', 'stuckout', 'tounges']"
negative,"['anieshilangya', 'grimacing', 'face', 'grimacing', 'face']"
negative,"['anies', 'hilang', 'debat', 'grimacing', 'face', 'grimacing', 'face']"
negative,"['mesti', 'nyuruh', 'mantan', 'pemilih', 'pilih', 'paslon', 'face', 'with', 'open', 'mouth', 'thumbs', 'up', 'hand', 'folded', 'hands', 'thinking', 'face', 'smiling', 'face', 'with', 'sunglasses']"
negative,"['kenape', 'dilawan', 'pasangan', 'pilgub', 'jabar', 'demokrat', 'emang', 'hrs', 'pilgub', 'dki', 'thinking', 'face', 'thinking', 'face', 'thinking', 'face']"
negative,"['gara', 'kemaren', 'pake', 'seragam', 'hitam', 'thinking', 'face', 'thinking', 'face', 'thinking', 'face', 'smiling', 'face', 'with', 'open', 'mouth', 'closed', 'eyes', 'smiling', 'face', 'with', 'sunglasses']"
negative,"['suka', 'ahok', 'pas', 'kalah', 'otomatis', 'dukungannya', 'lari', 'aniessandi', 'grimacing', 'face']"
negative,"['ahoker', 'bully']"
negative,"['putri', 'ahoker', 'ngebully', 'program', 'face', 'with', 'tears', 'joy', 'face', 'with', 'tears', 'joy', 'face', 'with', 'tears', 'joy']"
negative,"['kirim', 'kaosnya', 'sejati', 'smiling', 'face', 'with', 'smiling', 'eyes', 'smiling', 'face', 'with', 'smiling', 'eyes', 'smiling', 'face', 'with', 'smiling', 'eyes']"
negative,"['frowning', 'face']"
negative,"['humorlagu', 'kisah', 'sedih', 'ahy', 'lagu', 'jatuh', 'bangun', 'frowning', 'face', 'frowning', 'face']"
negative,"['cuitan', 'hati', 'sbycuitan', 'sby', 'jokowi', 'mantan', 'mantan', 'terindahpilgub', 'dki', 'tongue', 'tongue']"
negative,"['kasihan', 'dik', 'semoga', 'miskin', 'aamiin', 'thumbs', 'up', 'dihati', 'tongue']"
negative,"['bangga', 'anak', 'memo', 'tongue', 'face', 'with', 'stuckout', 'tongue', 'closed', 'eyes', 'face', 'with', 'tears', 'joy']"
negative,"['pendukung', 'sulit', 'melupakan', 'bully', 'thumbs', 'down']"
negative,"['versi', 'video', 'bingung', 'bicara', 'banjir', 'kota', 'apung', 'face', 'with', 'stuckout', 'tongue', 'closed', 'eyes', 'permukaan', 'tanah', 'air', 'bengong', 'smiling', 'face', 'with', 'open', 'mouth', 'closed', 'eyes']"
negative,"['ahokers', 'mendadak', 'salah', 'banget', 'face', 'with', 'stuckout', 'tongue', 'closed', 'eyes', 'face', 'with', 'stuckout', 'tongue', 'closed', 'eyes', 'face', 'with', 'stuckout', 'tongue', 'closed', 'eyes', 'face', 'with', 'stuckout', 'tongue', 'closed', 'eyes', 'face', 'with', 'stuckout', 'tongue', 'closed', 'eyes']"
negative,"['hoax', 'tidakada', 'habisnya', 'foto', 'pencoblosanfotonya', 'hoax', 'tulisanya', 'penuh', 'dusta', 'angry', 'face']"
negative,"['deklarasi', 'konsultasi', 'persetujuan', 'ahy']"
negative,"['lantoni', 'telikung', 'nama', 'dibajak', 'face', 'with', 'stuckout', 'tongue', 'closed', 'eyes']"
negative,"['pilih', 'mules', 'kontestasi', 'politik', 'putaran', 'pig', 'nose', 'pig', 'nose']"
negative,"['biarkan', 'pengorbanan', 'perjuangan', 'rezim', 'koplak', 'komando', 'fire', 'fire']"
negative,"['hati', 'mencermatinya', 'penyusup', 'terpantau', 'person', 'bowing', 'team']"
negative,"['ayo', 'pendukung', 'ahy', 'dukung', 'penggembosmu', 'tongue', 'fire', 'fire']"
negative,"['suara', 'direbuntukan', 'btp', 'melanjuntukan', 'program', 'usung', 'expressionless', 'face']"
negative,"['tweet', 'kontraproduktif', 'zippermouth', 'face', 'zippermouth', 'face', 'zippermouth', 'face']"
negative,"['ahy', 'nyungsep', 'jakarta']"
negative,"['suara', 'rusak', 'garagara', 'nyanyian', 'peka', 'sby', 'jeblos', 'penjara', 'pupus', 'disana', 'face', 'with', 'steam', 'nose']"
negative,"['awas', 'mendadak', 'metamorfosis', 'kecebong', 'brubah', 'anjing', 'penjilat', 'hand', 'clapping', 'hands']"
negative,"['tinggal', 'tunggu', 'sikap', 'manuver', 'agus', 'clapping', 'hands', 'face', 'with', 'cold', 'sweat', 'face', 'with', 'cold', 'sweat']"
positive,"['doa', 'ku', 'semoga', 'suaranya', 'agussylvi', 'beneran', 'agus', 'mu']"
positive,"['terima', 'kasih', 'karenamu', 'anak', 'muda', 'berani', 'menyuarakan', 'perubahan', 'bersamamu']"
positive,"['ketemu', 'istiqlal', 'bangga', 'murni']"
positive,"['tersingkir', 'kancah', 'pilkada', 'dki', 'mengangkat', 'mendunia']"
positive,"['pilkada', 'dki', 'ahy', 'kualitasnya', 'pemimpin', 'muda', 'berjiwa', 'ksatria', 'ahy', 'mendunia']"
positive,"['pilkada', 'dki', 'ahy', 'keliling', 'nusantara', 'merajut', 'persatuan', 'jakarta']"
positive,"['ahy', 'menitipkan', 'menjaga', 'pluralisme', 'kebangsaan', 'kesatuan', 'persaingan', 'pilkada', 'persatuan']"
positive,"['ahy', 'kalah', 'pilkada', 'menang', 'hati', 'rakyat']"
positive,"['pendukung', 'ahok', 'berantem', 'mending', 'kaya', 'pendukung', 'ahy', 'kopdar', 'luas', 'calon']"
positive,"['ahy', 'pilkada', 'dki', 'hikmah', 'pelajaran', 'ujian', 'tantangan', 'ambil', 'mematangkan', 'karakternya']"
positive,"['semangat', 'ahy', 'faktor', 'kekalahan', 'pilkada', 'kemarin', 'wakil', 'ahy', 'maju', 'insyaalloh']"
positive,"['upaya', 'demokrat', 'mengenalkan', 'ahy', 'berhasil', 'pilkada', 'jakarta', 'ahy', 'blusukan', 'indonesia']"
positive,"['prinsip', 'kepemimpinan', 'memenangkan', 'pilkada', 'belajar', 'dinamis', 'silaban']"
positive,"['pilihan', 'warga', 'jkt', 'mayoritas', 'ahok', 'calon', 'ahok', 'terbukti', 'putaran', 'pilkada', 'dki', 'mayoritas', 'memilih', 'ahy', 'anies']"
positive,"['akun', 'instagram', 'ahy', 'ucapkan', 'selamat', 'paslon', 'pemenang', 'pilkada', 'dki', 'jakarta']"
positive,"['menyeberangi', 'selat', 'malaka', 'aiman', 'kompastv', 'kesempatan', 'mewawancarai', 'ahy', 'pilkada', 'dki']"
positive,"['ahy', 'pilkada', 'dki', 'berjalan', 'bermartabat']"
positive,"['kagum', 'ahy', 'muda', 'berani', 'pensiun', 'berani', 'menantang', 'ahok', 'pilkada', 'disaat', 'takut']"
positive,"['pilkada', 'dki', 'berdoa', 'ahy', 'menang', 'mudahmudahan', 'anies', 'sandi', 'menang']"
positive,"['mental', 'kalah', 'pilkada', 'indonesia', 'berguru', 'sosok', 'ahy']"
positive,"['lsi', 'membuktikan', 'kejujuran', 'surveynya', 'pilkada', 'dki', 'tahap', 'ahokdjarot', 'disurvey', 'kalah', 'ahy', 'menang', 'putaran']"
positive,"['sehabis', 'pilkadapileg', 'pilpres', 'harap', 'ahy', 'ketua', 'dpr']"
positive,"['sebentar', 'lupakan', 'kegilaan', 'pilkada', 'dki', 'mari', 'berlari', 'ahy', 'kepri', 'april']"
positive,"['menang', 'bentuk', 'keyakinan', 'keberhasilan', 'goal', 'goal', 'improvisasi', 'politik', 'sby', 'ahydi', 'pilkada', 'dki']"
positive,"['semoga', 'anies', 'menang', 'pilkada', 'ahy', 'presiden', 'indonesia', 'aamiin', 'yra']"
positive,"['pilkada', 'dki', 'ahy', 'diperhitungkan', 'diharapkan', 'pemimpin', 'ri']"
positive,"['pikir', 'target', 'ahy', 'pilkada', 'kemarin', 'membangun', 'sentimen', 'positif']"
positive,"['tolong', 'hargai', 'sikap', 'pendukung', 'ahy', 'memilih', 'bersikap', 'netral', 'putaran', 'pilkada', 'dki']"
positive,"['pilkada', 'pilkades', 'ahy', 'rame']"
positive,"['pilkada', 'putaran', 'kemarin', 'kaos', 'ahy', 'dibagibagikan', 'dilingkungan', 'utan', 'kayu', 'jaktim']"
positive,"['semangat', 'dukung', 'ahysylvi', 'pilkada', 'terlaksana', 'tentukan', 'pilihan', 'pro', 'rakyat']"
positive,"['salah', 'ahysilvy', 'menang', 'pilkada', 'mudah', 'silvy', 'mio', 'memakai', 'helm', 'keliling', 'komplek', 'pemilihan', 'dijamin', 'segan']"
positive,"['maju', 'ahysilvy', 'aniessandi', 'bersatu', 'menangkan', 'pilkada', 'dki']"
positive,"['tunggu', 'kualitas', 'jiwa', 'anies', 'sandiapa', 'ucapan', 'peran', 'suara', 'loyalis', 'ahysilvy', 'kemenangan', 'pilkada']"
positive,"['terimakasih', 'ahysilvy', 'jakarta', 'gubernur']"
positive,[]
positive,"['cakeeepppp', 'pendukung']"
positive,"['lupa', 'pilih', 'paslon']"
positive,"['sinyal', 'positif', 'agussylvi', 'merapat', 'aniessandi']"
positive,"['rapatkan', 'barisan', 'komando']"
positive,"['putaran', 'rapat', 'barisan', 'komando']"
positive,"['mengakui', 'kekalahan', 'apapun', 'tujuannya', 'great', 'applause', 'patut', 'ditiru', 'demokrasi', 'positif']"
positive,"['salut', 'mpok', 'silvy', 'mengakui', 'kemenangan', 'paslon']"
positive,"['quick', 'countttp', 'hasil', 'kpud', 'putaran', 'rapat', 'barisan', 'komando']"
positive,"['youtubebxrzdua', 'tenang', 'bening', 'tulus', 'agus']"
positive,"['mari', 'masukan', 'kritik', 'membangun', 'kalah', 'pertandingan']"
positive,"['apapun', 'hasilnya', 'kau', 'kebanggaan']"
positive,"['fokus', 'menangkan']"
positive,"['rakernas', 'partai', 'demokrat', 'ahy']"
positive,"['tersambut', 'hangat', 'mesra', 'intim', 'ntb']"
positive,"['ngawal', 'abang', 'keliling', 'ampenan']"
positive,"['knp', 'disetiap', 'acara', 'massa', 'membludakkrn', 'rakyat', 'harapan', 'ahy', 'memimpin', 'negara', 'dimasa']"
positive,"['kekalahan', 'sukses', 'tertunda', 'disesali', 'dijadikan', 'pengalaman']"
positive,"['tandatangan', 'petisi', 'stop', 'hoax', 'fitnah', 'mendukung', 'gerakan', 'kebebasan', 'pers', 'hoax', 'fitnah']"
positive,['indonesia']
positive,"['mestinya', 'gus', 'negarawan']"
positive,"['demokrat', 'cinta', 'nkri', 'berbakti']"
positive,"['jagoan', 'kalah', 'duluan', 'jagoannya', 'ahok']"
positive,[]
positive,"['pesan', 'lupa', 'gembira', 'cinta', 'indonesia']"
positive,"['kaum', 'muda', 'hormat', 'tua']"
positive,[]
positive,"['jalan', 'berlari', 'menyongsong', 'menyongsong']"
positive,"['langkah', 'kuda', 'agus', 'yudhoyono']"
positive,"['muka', 'pulang', 'punggung', 'terima', 'kasih', 'kepri']"
positive,"['pemimpin', 'muda']"
positive,"['inspirasi', 'kaum', 'muda', 'gerakan', 'indonesia', 'muda', 'indonesia', 'emas']"
positive,"['setia', 'politik', 'indonesia', 'regenerasi', 'matang', 'kutu', 'loncat']"
positive,"['hinggahy', 'baskoro']"
positive,"['menyapa', 'indonesia', 'baskoro']"
positive,"['harapan', 'dpn', 'bangsa']"
positive,"['putri', 'wanita', 'penginspirasi']"
positive,['keren']
positive,"['wartawan', 'pilkada', 'skg', 'terpikir', 'pilkada']"
positive,"['agus', 'kasih', 'kuliah']"
positive,"['kuliah', 'mahasiswa', 'perspektif', 'umrah', 'dompak']"
positive,"['insya', 'allah', 'mendahului', 'tuhanbakal', 'nglamar']"
positive,"['hmmmm', 'calon', 'tokoh', 'dunia']"
positive,['gembira']
positive,"['terimakasih', 'kpada', 'pendukung', 'tlah', 'suaranya']"
positive,"['voter', 'memilih']"
positive,[]
positive,"['logikanya', 'pemilih', 'putaran', 'psikologis', 'pemilih', 'paslon', 'gubernur', 'jakarta']"
positive,"['suara', 'pemilih', 'putaran', 'memilih', 'paslon', 'puataran', 'selamat', 'jakarta', 'gubernur']"
positive,"['olahraga', 'ahy', 'tps', 'siang']"
positive,"['ahy', 'bergaya', 'sporty', 'tps']"
positive,"['putaran', 'bgm', 'kelasnya', 'pemimpin', 'berbesar', 'hati']"
positive,['peduli']
positive,"['pendukung', 'dukung', 'ahok', 'basis', 'massa', 'mayoritas', 'pilih', 'anies', 'kunci', 'kemenangan', 'tipis', 'anies']"
positive,"['suara', 'pendukung', 'menentukan', 'kemenangan', 'salah', 'paslon']"
positive,"['semoga', 'pemilih', 'putaran', 'kebon', 'kacang', 'kp', 'bali', 'beralih', 'aniessandi']"
positive,"['fans', 'dukung', 'menangkan']"
positive,"['bismillah', 'semoga', 'esok', 'jakarta', 'memiliki', 'pemimpin', 'sesuai', 'tuntunan', 'alquran', 'diridhai', 'alloh', 'swt']"
positive,"['bu', 'sylvi', 'contoh', 'keberanian', 'betawi', 'bersikap', 'ngga', 'ngambang', 'banci', 'contoh', 'perempuan', 'betawi', 'tulen']"
positive,"['putaran', 'dukung', 'agus', 'kalah', 'terhormat', 'menang', 'curang']"
positive,"['tulus', 'menyenangkan', 'insyaallah', 'jalan', 'bu', 'murni']"
positive,"['pemimpin', 'harapan', 'bangsa', 'baskoro']"
positive,['terbaik']
positive,"['postingan', 'januari', 'meneduhkan', 'tetep']"
positive,"['wallahulmuwafiq', 'ilaaqwamithoriq', 'mencerminkan', 'beliau', 'nu', 'jatuh', 'hati']"
positive,"['suka', 'berjiwa']"
positive,"['ahy', 'kalah', 'pilgub', 'yudhoyono']"
positive,"['kau', 'kalahkami', 'bangga', 'padamu', 'jalanmu', 'panjangkesuksesan', 'menantimu', 'disaat']"
positive,"['pribadi', 'kagum', 'pribadi', 'mu', 'sikapmu']"
positive,"['prananda', 'demokrat', 'sejati', 'kagum', 'salut']"
positive,"['frowning', 'face', 'thumbs', 'up', 'thumbs', 'up', 'thumbs', 'up']"
positive,"['agus', 'harimurti', 'yudhoyono', 'lovers', 'annisa', 'larasati', 'pohan', 'lovers', 'mendadak']"
positive,"['terkadang', 'sikap', 'dewasa', 'diajarkan', 'muda', 'thumbs', 'up', 'smiling', 'face', 'with', 'hearteyes']"
positive,"['bangga', 'pernyataan', 'ksatria']"
positive,"['hayoo', 'sibuk', 'hapusin', 'jelekin', 'face', 'with', 'stuckout', 'tounges', 'face', 'with', 'tears', 'joy']"
positive,"['bagus', 'programnya', 'persija']"
positive,"['pingin', 'debat', 'face', 'with', 'stuckout', 'tounges']"
positive,"['wahdiam', 'tersepona', 'pesonanya', 'face', 'with', 'stuckout', 'tounges']"
positive,['dukung']
positive,"['kecerdasan', 'nasionalisme', 'jiwa', 'pancasilais', 'dimiliki', 'memiliki', 'jiwa', 'santri', 'mondok']"
positive,"['marasa', 'beruntung', 'sign', 'horns']"
positive,"['pendukung', 'anies', 'sandi', 'hand', 'bangga', 'jiwa', 'ahy', 'silvy', 'prabowo', 'ahy', 'folded', 'hands', 'folded', 'hands']"
positive,"['ahy', 'sylvi', 'menang', 'hati', 'pendukungnya', 'ahysylvi', 'panik', 'ketar', 'ketir', 'kubu', 'folded', 'hands', 'folded', 'hands']"
