Sentiment,tweet_tokens_stemmed
positive,"['polmart', 'bijaksana']"
positive,"['rakyat', 'mendukung', 'kpk', 'usut', 'tuntas', 'ektp']"
positive,"['acara', 'televisi', 'suka']"
positive,"['sabar', 'nunggu']"
positive,"['semangat', 'sehat', 'karni', 'penonton', 'setia', 'menunggu', 'ilc', 'tayang']"
positive,"['adem', 'dengerin', 'nasehat', 'gym', 'semoga', 'sehat', 'slalu', 'lindungannya']"
positive,"['ilmu', 'serap', 'semalam', 'menyejukan']"
positive,['bangga']
positive,"['salut', 'komitmen', 'berwibawa', 'jenderal', 'sesungguhnya']"
positive,"['hormat', 'jendral']"
positive,"['gym', 'menyejukan', 'mental', 'jiwa']"
positive,"['terimakasih', 'buya', 'syafii', 'bangga', 'kejernihaannya']"
positive,"['penjelasan', 'kapolri', 'barakallahu', 'mari', 'buka', 'hati']"
positive,"['memiliki', 'kasih', 'memaafkan', 'maaf', 'keren', 'salut']"
positive,"['ary', 'sampe', 'diketawain', 'kalem', 'diujung', 'keringat', 'dingin', 'matanya', 'merem', 'asli', 'lucu']"
positive,"['ahmad', 'dhani', 'ngomong', 'seru']"
positive,"['mendengar', 'pendapat', 'hasim', 'muzadi', 'menentramkan', 'keren']"
positive,"['salut', 'hormat', 'bang', 'jhonson', 'panjaitan', 'lugas', 'akal']"
positive,"['kompak', 'pembelaan', 'bnn', 'polisi']"
positive,"['keren', 'abang', 'pengacara', 'botak']"
positive,"['jokowi', 'soleh', 'hendropriyono']"
positive,"['top', 'mencerahkan', 'prof']"
positive,"['media', 'dukung', 'ahok', 'pendapatan', 'iklan', 'korporasi']"
positive,"['tvonenews', 'keren', 'melek']"
positive,"['salut', 'darmawan', 'salihin']"
positive,"['semga', 'ilc', 'informasi']"
positive,"['acara', 'debat', 'yag', 'hebat', 'keren']"
negative,"['tunggu', 'tvshow', 'indonesia', 'lawyers', 'club', 'tvshow', 'cocok', 'karakter', 'siaran', 'tvone']"
negative,"['indonesia', 'lawyers', 'club', 'tvone', 'malam', 'batal', 'tayang', 'memalukan', 'rezim', 'sakit', 'takut']"
negative,"['potensi', 'teroris', 'pernyataan', 'peluang', 'teroris']"
negative,"['indonesia', 'sikap', 'presiden', 'demo', 'sibuk', 'pencitraan', 'upload', 'video']"
negative,"['acara', 'membidik', 'habieb', 'rizieq', 'habieb', 'pulang', 'indonesia', 'mutu']"
negative,"['muqoddas', 'minoritas', 'ekonomi', 'kuat', 'menguasai', 'mayoritas', 'ekonomi', 'lemah', 'dibahas', 'sumber', 'radikal', 'miris']"
negative,"['jaga', 'jarak', 'islamis', 'radikal', 'bangsa', 'hancur']"
negative,"['omongannya', 'menarik', 'berisi']"
negative,"['anis', 'difitnah']"
negative,"['metromini', 'dijadikan', 'metronome', 'dibentuk', 'kemacetan', 'padat', 'putra', 'petir']"
negative,"['pembela', 'ahok', 'cek', 'berpikirnya', 'kalah', 'anak', 'sd', 'tvonenews']"
negative,"['provokatif', 'pembawa', 'acaranya', 'beda', 'kelas', 'tvonenews']"
negative,"['pribadi', 'suka', 'acara', 'najwa', 'ilc', 'menyelesaikan', 'kayaknya']"
negative,"['kebohongan', 'diulangulang']"
negative,"['diracun', 'pujian']"
negative,"['males', 'nonton', 'topik', 'kekinian']"
negative,"['kebohongan', 'lari', 'secepat', 'kilat', 'kebenaran', 'mengalahkannya']"
negative,"['namanya', 'tampang', 'nabi', 'hati', 'iblis', 'sesuai', 'pernyataan', 'pengacara', 'nazarudin']"
negative,"['pejabat', 'sibuk', 'membicarakan', 'hak', 'angket', 'tvne']"
negative,"['paham', 'gagal', 'paham']"
negative,"['ngomong', 'segitu', 'dapet', 'maksudnya']"
negative,"['sumpah', 'liat', 'mukanya', 'pengen', 'lempar', 'pake', 'sepatu', 'nyebelin']"
negative,"['fahri', 'dower', 'sakit', 'hati', 'kpk']"
negative,"['dpr', 'terusikkpk', 'dibidik']"
negative,"['ajarin', 'dewan', 'hak', 'angket']"
negative,"['rakyat', 'kadang', 'seneng', 'superbodi', 'kyknya', 'tebang', 'pilih']"
negative,"['merajut', 'jakarta', 'tercabik', 'cabik', 'kepemimpinan']"
negative,"['maksudnya', 'cinta', 'uang', 'akar', 'kejahatan']"
negative,"['geram', 'ngeliat', 'tingkah', 'akhlaq', 'oknum', 'mengatasnama', 'islam']"
negative,"['pembohongan', 'publik', 'rambut', 'putih', 'beruban', 'cat', 'hitam']"
negative,"['beda', 'kelas', 'sm', 'knp', 'bebas', 'pembatalan']"
negative,"['nonton', 'ilc', 'tokoh', 'betawi', 'betawi', 'gampang', 'intinya', 'bacot', 'jaga', 'intinya']"
negative,"['merajut', 'jakarta', 'gampang', 'bacot', 'jaga']"
negative,"['buya', 'safii', 'maarif', 'tua', 'kalah', 'bijak', 'nasihat', 'eep', 'muda']"
negative,"['merampas', 'hak', 'dasar', 'manusia', 'batal', 'hukum']"
negative,"['polisi', 'kasihan', 'bodoh', 'berhadapan', 'argumentasi', 'hukum', 'pakar']"
negative,"['abi', 'manyu', 'kasian', 'beliau', 'paham', 'whatsapp', 'miris']"
negative,"['bintang', 'muncul', 'partai', 'tokoh', 'manapun', 'sanggup', 'menggerakkan']"
negative,"['menghimbau', 'terprovokasi', 'memantik', 'kebencian', 'meneduhkan', 'mendung']"
negative,"['tindakan', 'anarkis', 'aksi', 'pendemo']"
negative,"['sepenting', 'apapun', 'mati', 'seram']"
negative,"['ketua', 'preman', 'pasar', 'ikutan', 'ngomong', 'memalukan']"
negative,"['jaga', 'moral', 'konten', 'porno', 'negara', 'darurat', 'radikalisme', 'tunggu', 'perang', 'kyk', 'suriah', 'kpi', 'sadar']"
negative,"['butuh', 'fakta', 'bukti', 'ngomong', 'kebohongan']"
negative,"['kasian', 'berpeci', 'pake', 'batik', 'merah', 'air', 'dikeluarin', 'ahoax']"
negative,"['syaiton', 'musuhmu', 'dijadikan', 'teman', 'manusia', 'kesetanan', 'setan', 'kemanusiaan']"
negative,"['mendengar', 'cerita', 'bu', 'marwah', 'bodoh', 'memalukan']"
negative,"['bang', 'gaya', 'pemikiran', 'liberal', 'miris']"
negative,"['sesat', 'pikir', 'pengamat']"
negative,"['berbicara', 'ribet']"
positive,"['lucu', 'kick', 'andy', 'senyum']"
positive,"['nonton', 'hasan', 'merkids', 'kick', 'andy', 'menginspirasi', 'salut', 'hasan']"
positive,"['ubah', 'mimpimu', 'tindakan', 'kick', 'andy']"
positive,"['kickandy', 'gokil']"
positive,"['terima', 'kasih', 'menonton', 'acara', 'eps', 'ubah', 'mimpimu', 'tindakan', 'semoga', 'bermanfaat']"
positive,"['temukan', 'lentera', 'jiwamu']"
positive,"['agung', 'undang', 'bercerita', 'perjalanan', 'kehidupanmu']"
positive,"['musisi', 'menggelorakan', 'semangat', 'nasionalisme', 'kebhinekaan', 'unjuk', 'gigi', 'nkri', 'harga', 'mati']"
positive,"['anak', 'berimajinasi']"
positive,"['gila', 'mendaki', 'gunung', 'mantap', 'jiwa']"
positive,"['sayangilah', 'alam', 'niscaya', 'alam', 'menyayangimu']"
positive,"['mantan', 'narapidana', 'dirangkulnya', 'dicarikan', 'pekerjaan', 'menjalani', 'hidup']"
positive,"['agung', 'membuktikan', 'karya', 'mengagumkan', 'dihasilkan', 'belajar', 'scr', 'otodidak']"
positive,"['salah', 'kejadian', 'penonton', 'tertawa', 'agung', 'hapsah', 'muncul']"
positive,"['agung', 'diundang', 'bercerita', 'perjalanan', 'kehidupanmu']"
positive,"['jatuh', 'bangkit', 'membantu']"
positive,"['bangga', 'menyumbang', 'karya', 'nkri', 'ronny', 'patut', 'acungi', 'jempol']"
positive,"['sahabat', 'gimbal', 'alas', 'malam', 'lupa', 'nonton', 'gila', 'mendaki', 'gunung', 'ala', 'cak', 'tarpin']"
positive,"['takut', 'berani', 'keberanian']"
positive,"['sukai', 'menghindari', 'yag', 'sukai']"
positive,"['anak', 'berfikir', 'dewasa', 'membiyayai', 'sekolahnya', 'membajak', 'sawah', 'tv']"
positive,"['kangen', 'nonton', 'ayah', 'ayah', 'bersyukur']"
positive,"['siang', 'ajang', 'reuni', 'sahabat', 'kosti', 'dki', 'kosti', 'jateng']"
positive,"['ku', 'lucu']"
positive,"['besok', 'pagi', 'uts', 'pulang', 'duluan', 'poto', 'bareng', 'gambarnya']"
positive,"['bahagianya', 'tv', 'kawan', 'kick', 'andy']"
positive,"['keren', 'kocak', 'tamu', 'merekamereka', 'lomba', 'design', 'berasal', 'malang']"
positive,"['lucu', 'ketawa', 'persis', 'tv']"
positive,"['terima', 'kasih', 'menginspirasi', 'membuka', 'kesetiaan', 'teruji', 'cinta', 'sesungguhnya']"
positive,"['cinta', 'agung', 'tuhan']"
positive,"['riasan', 'terbaik', 'wanita', 'semangat', 'percaya']"
positive,"['nonton', 'menginspirasi']"
positive,"['mendukung', 'ahok', 'tv']"
positive,"['mantap', 'ahok']"
positive,"['manusia', 'bersih', 'berani']"
positive,"['suka', 'nasehat', 'analta', 'amir', 'ahok', 'menyaring', 'ucapan']"
positive,"['nonton', 'menarik', 'membuka', 'pikiran', 'menginspirasi', 'sukses']"
positive,"['jagoan', 'hahahaha']"
positive,['salut']
positive,"['semoga', 'umur', 'semoga', 'acara', 'malam', 'lancar']"
positive,"['ajang', 'orangorang', 'menginspirasi']"
positive,"['suara', 'penta', 'keren', 'banget', 'juara', 'rumania']"
positive,"['penta', 'eksis', 'suka', 'suara', 'keren']"
positive,"['terselip', 'detik', 'kick', 'andy', 'keren']"
positive,['terimakasih']
positive,"['tayangan', 'inspiratif', 'motivasi', 'mencintai', 'orangorang', 'disabilitas']"
positive,"['perjuagan', 'istimewa', 'menembus', 'keterbatasan', 'syukur', 'allah', 'menginspirasi']"
positive,"['syukurilah', 'kehidupanmu']"
positive,"['acara', 'menginspirasi', 'salut']"
positive,"['suka', 'tamu', 'diundang', 'menginspirasi']"
negative,"['puncak', 'lupa', 'sampahnya', 'bawa', 'turun', 'alam', 'nyampah', 'stop', 'nyampah', 'gunung']"
negative,"['wna', 'terancam', 'dideportasi', 'lia', 'terancam', 'dipidanakan']"
negative,"['menyalakan', 'lilin', 'mengumpat', 'kegelapan']"
negative,"['bohongi', 'gimbal', 'alas', 'malang']"
negative,"['sampan', 'belayar', 'padang', 'pasir', 'betapa', 'jua', 'emp']"
negative,"['mencari', 'uang', 'dipaksa', 'mengupayakan', 'malas']"
negative,"['hidup', 'terkadang', 'net']"
negative,"['cobaan', 'suami', 'istri', 'sakit', 'cobaan', 'istri', 'suami', 'duit', 'miris']"
negative,"['terharu', 'mendengar', 'puisi', 'perempuan', 'berhenti', 'terjaga', 'anakanak', 'shinta', 'nuriyah', 'miris']"
negative,"['anak', 'milik', 'berdua', 'milik', 'salah', 'bantulah', 'istri', 'mengasuh', 'anak']"
negative,"['ujian', 'suami', 'istri', 'sakit', 'ujian', 'istri', 'suami']"
negative,"['andy', 'mampir', 'gaya', 'remaja', 'idola', 'remaja', 'beli']"
negative,"['kelemahan', 'memperkuatnya']"
negative,"['kekuatan', 'terbesar', 'mengalahkan', 'stress', 'kemampuan', 'memilih', 'pikiran']"
negative,"['kesel', 'coba', 'sodara', 'ngantri', 'kanker', 'coba', 'rasain', 'fitnah']"
negative,"['pulang', 'rumah', 'mati', 'urus', 'miskin', 'taruh', 'apartemen']"
negative,"['berantem', 'telor', 'busuk', 'diketeknya']"
negative,"['btp', 'mukanya', 'sedih', 'banget', 'pas', 'kakak', 'angkatnya', 'ngomong']"
negative,"['andy', 'kaku', 'jaga', 'sikap', 'mengundang', 'ahok', 'tamu', 'formal']"
negative,"['stress', 'ngantuk']"
negative,"['cover', 'sisi', 'fisik', 'sm', 'isinya', 'berbeda']"
negative,"['gajah', 'dibilang', 'psikolog', 'tv']"
negative,"['bakarin', 'andy']"
negative,"['sakit', 'perut', 'nonton', 'kisah', 'sarjana', 'tertua', 'indonesia']"
negative,"['pekerjaan', 'sesuai', 'kualifikasi', 'pendidikannya']"
negative,"['ttp', 'msk', 'surga', 'ibadahnya', 'sia', 'hahaah', 'sp', 'bertato', 'beribadah']"
negative,"['bertato', 'beribadah']"
negative,"['bodoh', 'bodohi', 'sistem', 'mikemarjinal']"
negative,"['bocor', 'malaikat', 'alam', 'kubur', 'bocor']"
negative,"['anak', 'lulus', 'nilai', 'palingg', 'lulus', 'snmptn', 'undangan', 'bidik', 'misi', 'pdhl', 'susah']"
negative,"['belanda', 'peduli', 'indonesia', 'daerah', 'terisolir', 'pemerintah', 'indonesia', 'zhonk', 'kickandymetrotv']"
negative,"['merinding', 'nonton']"
negative,"['indonesia', 'dididik', 'rusak']"
negative,"['parahnya', 'kualitas', 'pendidikan', 'indonesia']"
negative,"['apapun', 'kick', 'andy', 'botak']"
negative,"['malu', 'kalah', 'sempurna', 'sempurna']"
negative,"['hukum', 'indonesia', 'adil']"
negative,"['tua', 'keladi', 'macan', 'ompong', 'melempem', 'kecewa', 'liat', 'amin', 'rais']"
negative,"['media', 'mengisi', 'kisah', 'sukses', 'tv', 'gosip', 'berita', 'rusuh', 'acara', 'gg', 'tai', 'kucing']"
negative,"['dihargai', 'hargailah']"
negative,"['dibawah', 'sulit', 'mengeluh']"
negative,"['hidup', 'perjuangan', 'melelahkan', 'capek']"
negative,"['orangorang', 'berhenti', 'belajar', 'bodoh']"
negative,"['ambillah', 'berfikir', 'perusak']"
negative,"['miris', 'perusak', 'indonesia']"
negative,"['sistem', 'mikemarjinal', 'membodohi']"
negative,"['stress', 'kekacauan']"
negative,"['kesel', 'banget', 'coba', 'posisi', 'ahok']"
negative,"['coba', 'pulang', 'kerumah', 'mati', 'urus', 'miskin', 'taruh', 'apartemen']"
negative,"['bodoh', 'malas']"
positive,"['setuju', 'misbah', 'najwa', 'kick', 'andy', 'program', 'favorit']"
positive,"['metrotv', 'najwa', 'pancasila']"
positive,"['selera', 'gue', 'gatau', 'suka', 'banget', 'nonton', 'metro', 'tv', 'kick', 'andy', 'najwa', 'selera', 'menua']"
positive,"['mantap', 'najwa', 'seru']"
positive,"['sahabat', 'nonton', 'najwa', 'metro', 'tv', 'ketua', 'dpp', 'pkb']"
positive,"['suarakan', 'kebenaran', 'najwa']"
positive,"['selamat', 'keluarga', 'tv', 'prestasi', 'dialog', 'keren', 'rugi', 'terlewatkan', 'nonton', 'najwa']"
positive,"['matanajwa', 'semoga', 'acara', 'najwa', 'metro', 'tv', 'acara', 'favorit', 'jaya', 'berkualitas']"
positive,"['menang', 'najwa', 'tv', 'dukung', 'najwa', 'program', 'tv', 'terbaik']"
positive,"['najwa', 'metrotv', 'inspiratif']"
positive,"['tentram', 'bahagia', 'nonton', 'najwa', 'tv']"
positive,"['najwa', 'keren', 'acaranya', 'matanya', 'setajam', 'silet']"
positive,"['najwa', 'malam', 'kayaknya', 'seru', 'banget']"
positive,"['najwa', 'keren', 'mantap']"
positive,"['keren', 'tampil', 'kandang', 'lawan', 'anies', 'baswedan', 'gemilang', 'najwa', 'metro', 'tv']"
positive,"['romantis', 'memuaskan', 'pemirsa', 'najwa', 'sukses']"
positive,"['menarik', 'mengikuti', 'diskusi', 'ahok', 'anis', 'najwa']"
positive,"['ahok', 'pinter', 'hebat', 'debat', 'acara', 'najwa', 'metro', 'tv']"
positive,"['najwa', 'metro', 'tv', 'berpihak', 'paslon', 'untung', 'ahok', 'cerdas', 'semangat', 'allah', 'bersamamu']"
positive,"['terbukti', 'najwa', 'ahok', 'hebat', 'anis', 'insaallah', 'ahok', 'jarot', 'menang']"
positive,"['sip', 'keren', 'debat', 'ala', 'najwa', 'keren', 'ala', 'kpud', 'diatur', 'jaim']"
positive,"['semoga', 'jokowi', 'acara', 'najwa', 'dipelosok', 'diatasi']"
positive,"['keren', 'najwa']"
positive,"['metro', 'tv', 'keren', 'inspiratif', 'najwa', 'kick', 'andy']"
positive,"['metro', 'tv', 'emang', 'tv', 'keren', 'edukatif', 'menginspirasi', 'najwa', 'kick', 'andy']"
positive,"['pemimpin', 'cerdas', 'santun', 'jujur', 'bersih', 'pilih', 'aniessandipemersatu']"
positive,"['liat', 'pemimpin', 'islami', 'cerdas', 'teladan']"
positive,"['rame', 'banget', 'malam', 'menunggu', 'topik', 'seru', 'nambah', 'wawasan']"
positive,"['kado', 'indah', 'malam', 'matanajwametrotv']"
positive,"['tjokro', 'rumahnya', 'teladan', 'senioritas', 'menghidupkan', 'mengkerdilkan']"
positive,"['semangat', 'bp', 'bambang', 'woidjojayanto']"
positive,"['belajar', 'gusdur', 'matanajwametrotv']"
positive,"['najwa', 'susi', 'bpk', 'dahlan', 'bpk', 'faisal', 'basri', 'inspiratif']"
positive,"['metro', 'tv', 'keren', 'malam', 'malam', 'mingguan', 'rugi', 'nonton', 'najwa']"
positive,"['kemerdekaan', 'hak', 'bangsa']"
positive,"['seru', 'najwa', 'malam']"
positive,"['salut', 'ahok']"
positive,"['super', 'salut', 'ahok']"
positive,"['matanajwametrotv', 'berwibawa', 'kataberkuasa', 'sederhana', 'kagum']"
positive,"['salut', 'bangga', 'sm', 'bj', 'habibie', 'kesekian', 'kalinya']"
positive,"['obrolan', 'santai', 'menarik', 'abraham', 'slamet', 'jk', 'jokowi', 'anis', 'baswedan', 'ganjar']"
positive,"['anis', 'baswedan', 'jokowi', 'ganjar', 'pranowo', 'jk', 'abraham', 'samad', 'inspirasi', 'indonesia', 'keren']"
positive,['pemimpin']
positive,"['kerendahan', 'kesederhanaan', 'jokowi', 'patut', 'tiru']"
positive,"['seru', 'dahlan', 'iskan', 'ketua', 'dpr']"
positive,"['desa', 'bebas', 'rokok', 'menginspirasi']"
positive,"['terinspirasi', 'cinta', 'bjh', 'hab']"
positive,['inspirasi']
positive,['narasumber']
