,Sentiment,Text Tweet,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,tweet_tokens_stemmed
13,positive,trans hitam putih terbaik,"['trans', 'hitam', 'putih', 'terbaik']",<FreqDist with 4 samples and 4 outcomes>,"['trans', 'hitam', 'putih', 'terbaik']","['trans', 'hitam', 'putih', 'terbaik']"
14,positive,acara hitam putih paling bagus buat di lihat,"['acara', 'hitam', 'putih', 'paling', 'bagus', 'buat', 'di', 'lihat']",<FreqDist with 8 samples and 8 outcomes>,"['acara', 'hitam', 'putih', 'bagus']","['acara', 'hitam', 'putih', 'bagus']"
15,positive,undang rafly di acara hitam putih yadia jebolan dangdut academi pinter nyanyi lagu india suaranya keren,"['undang', 'rafly', 'di', 'acara', 'hitam', 'putih', 'yadia', 'jebolan', 'dangdut', 'academi', 'pinter', 'nyanyi', 'lagu', 'india', 'suaranya', 'keren']",<FreqDist with 16 samples and 16 outcomes>,"['undang', 'rafly', 'acara', 'hitam', 'putih', 'yadia', 'jebolan', 'dangdut', 'academi', 'pinter', 'nyanyi', 'lagu', 'india', 'suaranya', 'keren']","['undang', 'rafly', 'acara', 'hitam', 'putih', 'yadia', 'jebolan', 'dangdut', 'academi', 'pinter', 'nyanyi', 'lagu', 'india', 'suaranya', 'keren']"
16,positive,bagus rancangan seperti ini di trans hitamputih sambil dakwah hiburannya terima kasih ustadz wijayanto,"['bagus', 'rancangan', 'seperti', 'ini', 'di', 'trans', 'hitamputih', 'sambil', 'dakwah', 'hiburannya', 'terima', 'kasih', 'ustadz', 'wijayanto']",<FreqDist with 14 samples and 14 outcomes>,"['bagus', 'rancangan', 'trans', 'hitamputih', 'dakwah', 'hiburannya', 'terima', 'kasih', 'ustadz', 'wijayanto']","['bagus', 'rancangan', 'trans', 'hitamputih', 'dakwah', 'hiburannya', 'terima', 'kasih', 'ustadz', 'wijayanto']"
17,positive,wah kapan rihanna bisa jadi bintang tamu hitam putih kayak di trans jadi kangen kapan tayang lagi di,"['wah', 'kapan', 'rihanna', 'bisa', 'jadi', 'bintang', 'tamu', 'hitam', 'putih', 'kayak', 'di', 'trans', 'jadi', 'kangen', 'kapan', 'tayang', 'lagi', 'di']",<FreqDist with 15 samples and 18 outcomes>,"['rihanna', 'bintang', 'tamu', 'hitam', 'putih', 'trans', 'kangen', 'tayang']","['rihanna', 'bintang', 'tamu', 'hitam', 'putih', 'trans', 'kangen', 'tayang']"
18,positive,terimakasih telah menonton hitam putih malam ini semoga dapat menginspirasi dan dapat memberikan pelajaran utk sobat,"['terimakasih', 'telah', 'menonton', 'hitam', 'putih', 'malam', 'ini', 'semoga', 'dapat', 'menginspirasi', 'dan', 'dapat', 'memberikan', 'pelajaran', 'utk', 'sobat']",<FreqDist with 15 samples and 16 outcomes>,"['terimakasih', 'menonton', 'hitam', 'putih', 'malam', 'semoga', 'menginspirasi', 'pelajaran', 'sobat']","['terimakasih', 'menonton', 'hitam', 'putih', 'malam', 'semoga', 'menginspirasi', 'pelajaran', 'sobat']"
19,positive,acara hitam putih di trans topiknya bagus nih ttg kepribadian ganda,"['acara', 'hitam', 'putih', 'di', 'trans', 'topiknya', 'bagus', 'nih', 'ttg', 'kepribadian', 'ganda']",<FreqDist with 11 samples and 11 outcomes>,"['acara', 'hitam', 'putih', 'trans', 'topiknya', 'bagus', 'kepribadian', 'ganda']","['acara', 'hitam', 'putih', 'trans', 'topiknya', 'bagus', 'kepribadian', 'ganda']"
20,positive,nonton kisah anastasya wella di seru bgt ya kisahnya punya kepribadian berbeda,"['nonton', 'kisah', 'anastasya', 'wella', 'di', 'seru', 'bgt', 'ya', 'kisahnya', 'punya', 'kepribadian', 'berbeda']",<FreqDist with 12 samples and 12 outcomes>,"['nonton', 'kisah', 'anastasya', 'wella', 'seru', 'kisahnya', 'kepribadian', 'berbeda']","['nonton', 'kisah', 'anastasya', 'wella', 'seru', 'kisahnya', 'kepribadian', 'berbeda']"
21,positive,yang bikin selalu rindu kalau jauh dari nya,"['yang', 'bikin', 'selalu', 'rindu', 'kalau', 'jauh', 'dari', 'nya']",<FreqDist with 8 samples and 8 outcomes>,['rindu'],['rindu']
22,positive,wihh hebat kakek neneknya,"['wihh', 'hebat', 'kakek', 'neneknya']",<FreqDist with 4 samples and 4 outcomes>,"['wihh', 'hebat', 'kakek', 'neneknya']","['wihh', 'hebat', 'kakek', 'neneknya']"
23,positive,setelah menunggu sekian lama akhirnya nongol juga di hitam putih trans,"['setelah', 'menunggu', 'sekian', 'lama', 'akhirnya', 'nongol', 'juga', 'di', 'hitam', 'putih', 'trans']",<FreqDist with 11 samples and 11 outcomes>,"['menunggu', 'sekian', 'nongol', 'hitam', 'putih', 'trans']","['menunggu', 'sekian', 'nongol', 'hitam', 'putih', 'trans']"
24,positive,makin asik hitam putih,"['makin', 'asik', 'hitam', 'putih']",<FreqDist with 4 samples and 4 outcomes>,"['hitam', 'putih']","['hitam', 'putih']"
25,positive,spensa boys asal poso di hitam putih trans asli kalian keren yang pake kemeja biru putih si gingsul ada salam dari sini,"['spensa', 'boys', 'asal', 'poso', 'di', 'hitam', 'putih', 'trans', 'asli', 'kalian', 'keren', 'yang', 'pake', 'kemeja', 'biru', 'putih', 'si', 'gingsul', 'ada', 'salam', 'dari', 'sini']",<FreqDist with 21 samples and 22 outcomes>,"['spensa', 'poso', 'hitam', 'putih', 'trans', 'asli', 'keren', 'pake', 'kemeja', 'biru', 'putih', 'gingsul']","['spensa', 'poso', 'hitam', 'putih', 'trans', 'asli', 'keren', 'pake', 'kemeja', 'biru', 'putih', 'gingsul']"
26,positive,wahh asik nih vocalgrup thanks,"['wahh', 'asik', 'nih', 'vocalgrup', 'thanks']",<FreqDist with 5 samples and 5 outcomes>,"['wahh', 'vocalgrup', 'thanks']","['wahh', 'vocalgrup', 'thanks']"
27,positive,setiap hari aku slalu nonton hitam putih di trans hbs acara nya bagus banget mas dedy,"['setiap', 'hari', 'aku', 'slalu', 'nonton', 'hitam', 'putih', 'di', 'trans', 'hbs', 'acara', 'nya', 'bagus', 'banget', 'mas', 'dedy']",<FreqDist with 16 samples and 16 outcomes>,"['slalu', 'nonton', 'hitam', 'putih', 'trans', 'hbs', 'acara', 'bagus', 'banget', 'dedy']","['slalu', 'nonton', 'hitam', 'putih', 'trans', 'hbs', 'acara', 'bagus', 'banget', 'dedy']"
28,positive,acara hitam putih di trans malam ini pembahasannya mantab setuju kalau bakal diperbanyak yang mengulas hal semacam ini,"['acara', 'hitam', 'putih', 'di', 'trans', 'malam', 'ini', 'pembahasannya', 'mantab', 'setuju', 'kalau', 'bakal', 'diperbanyak', 'yang', 'mengulas', 'hal', 'semacam', 'ini']",<FreqDist with 17 samples and 18 outcomes>,"['acara', 'hitam', 'putih', 'trans', 'malam', 'pembahasannya', 'mantab', 'setuju', 'diperbanyak', 'mengulas']","['acara', 'hitam', 'putih', 'trans', 'malam', 'pembahasannya', 'mantab', 'setuju', 'diperbanyak', 'mengulas']"
29,positive,lg seru nonton hitam putih terus lanjut nonton on the spot,"['lg', 'seru', 'nonton', 'hitam', 'putih', 'terus', 'lanjut', 'nonton', 'on', 'the', 'spot']",<FreqDist with 10 samples and 11 outcomes>,"['seru', 'nonton', 'hitam', 'putih', 'nonton', 'spot']","['seru', 'nonton', 'hitam', 'putih', 'nonton', 'spot']"
30,positive,trio unyu di acara master dedy thanks,"['trio', 'unyu', 'di', 'acara', 'master', 'dedy', 'thanks']",<FreqDist with 7 samples and 7 outcomes>,"['trio', 'unyu', 'acara', 'master', 'dedy', 'thanks']","['trio', 'unyu', 'acara', 'master', 'dedy', 'thanks']"
31,positive,perusahaan jujur pasti punya pekerja yg jujur,"['perusahaan', 'jujur', 'pasti', 'punya', 'pekerja', 'yg', 'jujur']",<FreqDist with 6 samples and 7 outcomes>,"['perusahaan', 'jujur', 'pekerja', 'jujur']","['perusahaan', 'jujur', 'pekerja', 'jujur']"
32,positive,keren undang mereka dong di acara hitamputih atau acara presiden trans,"['keren', 'undang', 'mereka', 'dong', 'di', 'acara', 'hitamputih', 'atau', 'acara', 'presiden', 'trans']",<FreqDist with 10 samples and 11 outcomes>,"['keren', 'undang', 'acara', 'hitamputih', 'acara', 'presiden', 'trans']","['keren', 'undang', 'acara', 'hitamputih', 'acara', 'presiden', 'trans']"
33,positive,suka banget sama episode hitam putih malam ini trans,"['suka', 'banget', 'sama', 'episode', 'hitam', 'putih', 'malam', 'ini', 'trans']",<FreqDist with 9 samples and 9 outcomes>,"['suka', 'banget', 'episode', 'hitam', 'putih', 'malam', 'trans']","['suka', 'banget', 'episode', 'hitam', 'putih', 'malam', 'trans']"
34,positive,kangen jeketi jadi bintang tamu hitam putih trans seru aja gitu pas jaman gen diundang ke hitam putih,"['kangen', 'jeketi', 'jadi', 'bintang', 'tamu', 'hitam', 'putih', 'trans', 'seru', 'aja', 'gitu', 'pas', 'jaman', 'gen', 'diundang', 'ke', 'hitam', 'putih']",<FreqDist with 16 samples and 18 outcomes>,"['kangen', 'jeketi', 'bintang', 'tamu', 'hitam', 'putih', 'trans', 'seru', 'pas', 'jaman', 'gen', 'diundang', 'hitam', 'putih']","['kangen', 'jeketi', 'bintang', 'tamu', 'hitam', 'putih', 'trans', 'seru', 'pas', 'jaman', 'gen', 'diundang', 'hitam', 'putih']"
35,positive,terima kasih telah menyaksikan hitam putih hari ini semoga menginspirasi dan terhibur,"['terima', 'kasih', 'telah', 'menyaksikan', 'hitam', 'putih', 'hari', 'ini', 'semoga', 'menginspirasi', 'dan', 'terhibur']",<FreqDist with 12 samples and 12 outcomes>,"['terima', 'kasih', 'menyaksikan', 'hitam', 'putih', 'semoga', 'menginspirasi', 'terhibur']","['terima', 'kasih', 'menyaksikan', 'hitam', 'putih', 'semoga', 'menginspirasi', 'terhibur']"
36,positive,makin ok saja hitam putih mau donk di undang,"['makin', 'ok', 'saja', 'hitam', 'putih', 'mau', 'donk', 'di', 'undang']",<FreqDist with 9 samples and 9 outcomes>,"['hitam', 'putih', 'undang']","['hitam', 'putih', 'undang']"
37,positive,sangat menginspirasi hari ini banyak inspirasi buat saya,"['sangat', 'menginspirasi', 'hari', 'ini', 'banyak', 'inspirasi', 'buat', 'saya']",<FreqDist with 8 samples and 8 outcomes>,"['menginspirasi', 'inspirasi']","['menginspirasi', 'inspirasi']"
38,positive,seru nih hitam putih trans live,"['seru', 'nih', 'hitam', 'putih', 'trans', 'live']",<FreqDist with 6 samples and 6 outcomes>,"['seru', 'hitam', 'putih', 'trans', 'live']","['seru', 'hitam', 'putih', 'trans', 'live']"
39,positive,bersyukurlah kita hidup di indonesia,"['bersyukurlah', 'kita', 'hidup', 'di', 'indonesia']",<FreqDist with 5 samples and 5 outcomes>,"['bersyukurlah', 'hidup', 'indonesia']","['bersyukurlah', 'hidup', 'indonesia']"
40,positive,setuju banget sama ucapan deddy corbuzier di hitam putih trans hr ini guru tak perlu diberikan tanda jasa cukup naikan gaji,"['setuju', 'banget', 'sama', 'ucapan', 'deddy', 'corbuzier', 'di', 'hitam', 'putih', 'trans', 'hr', 'ini', 'guru', 'tak', 'perlu', 'diberikan', 'tanda', 'jasa', 'cukup', 'naikan', 'gaji']",<FreqDist with 21 samples and 21 outcomes>,"['setuju', 'banget', 'ucapan', 'deddy', 'corbuzier', 'hitam', 'putih', 'trans', 'guru', 'tanda', 'jasa', 'naikan', 'gaji']","['setuju', 'banget', 'ucapan', 'deddy', 'corbuzier', 'hitam', 'putih', 'trans', 'guru', 'tanda', 'jasa', 'naikan', 'gaji']"
41,positive,selamat siang selamat beraktivitas juga kami selalu menunggu hitam putih di chaenel kesayangan trans,"['selamat', 'siang', 'selamat', 'beraktivitas', 'juga', 'kami', 'selalu', 'menunggu', 'hitam', 'putih', 'di', 'chaenel', 'kesayangan', 'trans']",<FreqDist with 13 samples and 14 outcomes>,"['selamat', 'siang', 'selamat', 'beraktivitas', 'menunggu', 'hitam', 'putih', 'chaenel', 'kesayangan', 'trans']","['selamat', 'siang', 'selamat', 'beraktivitas', 'menunggu', 'hitam', 'putih', 'chaenel', 'kesayangan', 'trans']"
42,positive,ada vermansah di keren,"['ada', 'vermansah', 'di', 'keren']",<FreqDist with 4 samples and 4 outcomes>,"['vermansah', 'keren']","['vermansah', 'keren']"
43,positive,nonton trans hitam putih keren abis jesika cantik dedy ganteng,"['nonton', 'trans', 'hitam', 'putih', 'keren', 'abis', 'jesika', 'cantik', 'dedy', 'ganteng']",<FreqDist with 10 samples and 10 outcomes>,"['nonton', 'trans', 'hitam', 'putih', 'keren', 'abis', 'jesika', 'cantik', 'dedy', 'ganteng']","['nonton', 'trans', 'hitam', 'putih', 'keren', 'abis', 'jesika', 'cantik', 'dedy', 'ganteng']"
44,positive,acara hitam putih memang oke,"['acara', 'hitam', 'putih', 'memang', 'oke']",<FreqDist with 5 samples and 5 outcomes>,"['acara', 'hitam', 'putih', 'oke']","['acara', 'hitam', 'putih', 'oke']"
45,positive,yuk tweeps merapat sebentar lagi hitam putih akan live,"['yuk', 'tweeps', 'merapat', 'sebentar', 'lagi', 'hitam', 'putih', 'akan', 'live']",<FreqDist with 9 samples and 9 outcomes>,"['tweeps', 'merapat', 'sebentar', 'hitam', 'putih', 'live']","['tweeps', 'merapat', 'sebentar', 'hitam', 'putih', 'live']"
46,positive,tweeps terima kasih sudah menyaksikan hitam putih hari ini besok kembali live di,"['tweeps', 'terima', 'kasih', 'sudah', 'menyaksikan', 'hitam', 'putih', 'hari', 'ini', 'besok', 'kembali', 'live', 'di']",<FreqDist with 13 samples and 13 outcomes>,"['tweeps', 'terima', 'kasih', 'menyaksikan', 'hitam', 'putih', 'besok', 'live']","['tweeps', 'terima', 'kasih', 'menyaksikan', 'hitam', 'putih', 'besok', 'live']"
47,positive,emang selalu keren siapapun tamunya,"['emang', 'selalu', 'keren', 'siapapun', 'tamunya']",<FreqDist with 5 samples and 5 outcomes>,"['emang', 'keren', 'tamunya']","['emang', 'keren', 'tamunya']"
48,positive,subhanallah ni anak karunia yg tak ada bandingnya trans hitamputih,"['subhanallah', 'ni', 'anak', 'karunia', 'yg', 'tak', 'ada', 'bandingnya', 'trans', 'hitamputih']",<FreqDist with 10 samples and 10 outcomes>,"['subhanallah', 'anak', 'karunia', 'bandingnya', 'trans', 'hitamputih']","['subhanallah', 'anak', 'karunia', 'bandingnya', 'trans', 'hitamputih']"
49,positive,sangat terkesan setelah mendengar salah satu dr mereka jika saya adalah orang yg maju terus hitam putih semoga sukses slalu,"['sangat', 'terkesan', 'setelah', 'mendengar', 'salah', 'satu', 'dr', 'mereka', 'jika', 'saya', 'adalah', 'orang', 'yg', 'maju', 'terus', 'hitam', 'putih', 'semoga', 'sukses', 'slalu']",<FreqDist with 20 samples and 20 outcomes>,"['terkesan', 'mendengar', 'salah', 'maju', 'hitam', 'putih', 'semoga', 'sukses', 'slalu']","['terkesan', 'mendengar', 'salah', 'maju', 'hitam', 'putih', 'semoga', 'sukses', 'slalu']"
50,negative,hitam putih bego haruka diundang bentar biar pd liat younglex udah gt malah dihina bego,"['hitam', 'putih', 'bego', 'haruka', 'diundang', 'bentar', 'biar', 'pd', 'liat', 'younglex', 'udah', 'gt', 'malah', 'dihina', 'bego']",<FreqDist with 14 samples and 15 outcomes>,"['hitam', 'putih', 'bego', 'haruka', 'diundang', 'bentar', 'liat', 'younglex', 'dihina', 'bego']","['hitam', 'putih', 'bego', 'haruka', 'diundang', 'bentar', 'liat', 'younglex', 'dihina', 'bego']"
51,negative,miris liat pemerintah juara angkat berat seasia tp tdk ada biaya mengikuti kejurnas,"['miris', 'liat', 'pemerintah', 'juara', 'angkat', 'berat', 'seasia', 'tp', 'tdk', 'ada', 'biaya', 'mengikuti', 'kejurnas']",<FreqDist with 13 samples and 13 outcomes>,"['miris', 'liat', 'pemerintah', 'juara', 'angkat', 'berat', 'seasia', 'biaya', 'mengikuti', 'kejurnas']","['miris', 'liat', 'pemerintah', 'juara', 'angkat', 'berat', 'seasia', 'biaya', 'mengikuti', 'kejurnas']"
52,negative,juara angkat berat seasia tdk menerima hadiahnya dan tidak bisa ikut kejurnas karena terkendala biaya,"['juara', 'angkat', 'berat', 'seasia', 'tdk', 'menerima', 'hadiahnya', 'dan', 'tidak', 'bisa', 'ikut', 'kejurnas', 'karena', 'terkendala', 'biaya']",<FreqDist with 15 samples and 15 outcomes>,"['juara', 'angkat', 'berat', 'seasia', 'menerima', 'hadiahnya', 'kejurnas', 'terkendala', 'biaya']","['juara', 'angkat', 'berat', 'seasia', 'menerima', 'hadiahnya', 'kejurnas', 'terkendala', 'biaya']"
53,negative,haruka lain kali kalau diundang ke hitam putih ditolak aja hostnya ga menghargai kamu,"['haruka', 'lain', 'kali', 'kalau', 'diundang', 'ke', 'hitam', 'putih', 'ditolak', 'aja', 'hostnya', 'ga', 'menghargai', 'kamu']",<FreqDist with 14 samples and 14 outcomes>,"['haruka', 'diundang', 'hitam', 'putih', 'ditolak', 'hostnya', 'menghargai']","['haruka', 'diundang', 'hitam', 'putih', 'ditolak', 'hostnya', 'menghargai']"
54,negative,berasa aneh nonton acara hitam putih tapi penonton nya anak yg sekolah di sekolah gua,"['berasa', 'aneh', 'nonton', 'acara', 'hitam', 'putih', 'tapi', 'penonton', 'nya', 'anak', 'yg', 'sekolah', 'di', 'sekolah', 'gua']",<FreqDist with 14 samples and 15 outcomes>,"['berasa', 'aneh', 'nonton', 'acara', 'hitam', 'putih', 'penonton', 'anak', 'sekolah', 'sekolah', 'gua']","['berasa', 'aneh', 'nonton', 'acara', 'hitam', 'putih', 'penonton', 'anak', 'sekolah', 'sekolah', 'gua']"
55,negative,sedih dengar curhatanmu roxana semoga tuhan tunjukkan jalan dan titik terang utk roxana,"['sedih', 'dengar', 'curhatanmu', 'roxana', 'semoga', 'tuhan', 'tunjukkan', 'jalan', 'dan', 'titik', 'terang', 'utk', 'roxana']",<FreqDist with 12 samples and 13 outcomes>,"['sedih', 'dengar', 'curhatanmu', 'roxana', 'semoga', 'tuhan', 'tunjukkan', 'jalan', 'titik', 'terang', 'roxana']","['sedih', 'dengar', 'curhatanmu', 'roxana', 'semoga', 'tuhan', 'tunjukkan', 'jalan', 'titik', 'terang', 'roxana']"
56,negative,miris ketika anak indonesia kesulitan menggunakan bahasa indonesa dan lebih nyaman menggunakan bahasa asing,"['miris', 'ketika', 'anak', 'indonesia', 'kesulitan', 'menggunakan', 'bahasa', 'indonesa', 'dan', 'lebih', 'nyaman', 'menggunakan', 'bahasa', 'asing']",<FreqDist with 12 samples and 14 outcomes>,"['miris', 'anak', 'indonesia', 'kesulitan', 'bahasa', 'indonesa', 'nyaman', 'bahasa', 'asing']","['miris', 'anak', 'indonesia', 'kesulitan', 'bahasa', 'indonesa', 'nyaman', 'bahasa', 'asing']"
57,negative,sombongnya mentang kaya pake diumumkan saya host kaya di hitam putih trans,"['sombongnya', 'mentang', 'kaya', 'pake', 'diumumkan', 'saya', 'host', 'kaya', 'di', 'hitam', 'putih', 'trans']",<FreqDist with 11 samples and 12 outcomes>,"['sombongnya', 'mentang', 'kaya', 'pake', 'diumumkan', 'host', 'kaya', 'hitam', 'putih', 'trans']","['sombongnya', 'mentang', 'kaya', 'pake', 'diumumkan', 'host', 'kaya', 'hitam', 'putih', 'trans']"
58,negative,parah banget hitam putih di trans ngomong sembarang yg merusak generasi muda acara kyk gini,"['parah', 'banget', 'hitam', 'putih', 'di', 'trans', 'ngomong', 'sembarang', 'yg', 'merusak', 'generasi', 'muda', 'acara', 'kyk', 'gini']",<FreqDist with 15 samples and 15 outcomes>,"['parah', 'banget', 'hitam', 'putih', 'trans', 'ngomong', 'sembarang', 'merusak', 'generasi', 'muda', 'acara', 'kyk', 'gini']","['parah', 'banget', 'hitam', 'putih', 'trans', 'ngomong', 'sembarang', 'merusak', 'generasi', 'muda', 'acara', 'kyk', 'gini']"
59,negative,orang bangkrut itu bukan perkara soal uang tetapi bangkrut itu orang yang sudah tidak punya mimpi bangqomar,"['orang', 'bangkrut', 'itu', 'bukan', 'perkara', 'soal', 'uang', 'tetapi', 'bangkrut', 'itu', 'orang', 'yang', 'sudah', 'tidak', 'punya', 'mimpi', 'bangqomar']",<FreqDist with 14 samples and 17 outcomes>,"['bangkrut', 'perkara', 'uang', 'bangkrut', 'mimpi', 'bangqomar']","['bangkrut', 'perkara', 'uang', 'bangkrut', 'mimpi', 'bangqomar']"
60,negative,menakutkan powernya oma martha,"['menakutkan', 'powernya', 'oma', 'martha']",<FreqDist with 4 samples and 4 outcomes>,"['menakutkan', 'powernya', 'oma', 'martha']","['menakutkan', 'powernya', 'oma', 'martha']"
61,negative,jika hasilnya tdk sesuai dgn apa yg dikehendaki para pendemo akan demo lg silakah jika ini diartikan sbg pemaksaan kehendak,"['jika', 'hasilnya', 'tdk', 'sesuai', 'dgn', 'apa', 'yg', 'dikehendaki', 'para', 'pendemo', 'akan', 'demo', 'lg', 'silakah', 'jika', 'ini', 'diartikan', 'sbg', 'pemaksaan', 'kehendak']",<FreqDist with 19 samples and 20 outcomes>,"['hasilnya', 'sesuai', 'dikehendaki', 'pendemo', 'demo', 'silakah', 'diartikan', 'pemaksaan', 'kehendak']","['hasilnya', 'sesuai', 'dikehendaki', 'pendemo', 'demo', 'silakah', 'diartikan', 'pemaksaan', 'kehendak']"
62,negative,mulut farhat abas anjay bener di,"['mulut', 'farhat', 'abas', 'anjay', 'bener', 'di']",<FreqDist with 6 samples and 6 outcomes>,"['mulut', 'farhat', 'abas', 'anjay', 'bener']","['mulut', 'farhat', 'abas', 'anjay', 'bener']"
63,negative,klo episode berikutnya muncul lagi di saya ga bakal nonton lg hitam putih,"['klo', 'episode', 'berikutnya', 'muncul', 'lagi', 'di', 'saya', 'ga', 'bakal', 'nonton', 'lg', 'hitam', 'putih']",<FreqDist with 13 samples and 13 outcomes>,"['episode', 'muncul', 'nonton', 'hitam', 'putih']","['episode', 'muncul', 'nonton', 'hitam', 'putih']"
64,negative,yaampun banyak anak kecil yang nonton,"['yaampun', 'banyak', 'anak', 'kecil', 'yang', 'nonton']",<FreqDist with 6 samples and 6 outcomes>,"['yaampun', 'anak', 'nonton']","['yaampun', 'anak', 'nonton']"
65,negative,seorang anak yg butuh pengakuan dari sang ayah,"['seorang', 'anak', 'yg', 'butuh', 'pengakuan', 'dari', 'sang', 'ayah']",<FreqDist with 8 samples and 8 outcomes>,"['anak', 'butuh', 'pengakuan', 'ayah']","['anak', 'butuh', 'pengakuan', 'ayah']"
66,negative,mario teguh mencampakkan anak nya,"['mario', 'teguh', 'mencampakkan', 'anak', 'nya']",<FreqDist with 5 samples and 5 outcomes>,"['mario', 'teguh', 'mencampakkan', 'anak']","['mario', 'teguh', 'mencampakkan', 'anak']"
67,negative,orang tuna netra aja bisa berbagi kok yg pegang jabatan tinggi korupsi,"['orang', 'tuna', 'netra', 'aja', 'bisa', 'berbagi', 'kok', 'yg', 'pegang', 'jabatan', 'tinggi', 'korupsi']",<FreqDist with 12 samples and 12 outcomes>,"['tuna', 'netra', 'berbagi', 'pegang', 'jabatan', 'korupsi']","['tuna', 'netra', 'berbagi', 'pegang', 'jabatan', 'korupsi']"
68,negative,garing banget sih ni orang,"['garing', 'banget', 'sih', 'ni', 'orang']",<FreqDist with 5 samples and 5 outcomes>,"['garing', 'banget']","['garing', 'banget']"
