Sentiment,Text Tweet
negative,"kalo sekarang yang nyanyi anak2,tapi lagu Na ... Terlalu Menyakitkan Memalukan untuk disebutkan #savelaguanak #HitamputihT7"
negative,bukan maksud ngatain tp cuma bertanya knp hanya orang kecil atau bawah yg ditindes? @HitamPutihT7 #HitamPutihT7
negative,"Bos kau kalo cowo kerja salah di bentak abis, kalo cewe malah diajakin becanda trus ketawa #MyStupidBoss #HitamPutihT7"
negative,suara sang veteran kalau perlu koruptor di hukum mati! #hitamPutihT7
negative,Kok berita nya ga nyebar sih #HitamPutihT7 #Trans7
negative,"@HitamPutihT7 buta tuh orang, dalem ruangan pake kacamata hitam #HitamPutihT7"
negative,Ya dunia jadi terharu kepergian mbak jupe @hitamputih_trans7
negative,jadi gitu nasib atlet kita ya? @KEMENPORA_RI #HitamputihT7
negative,knp ya seorang sahabat bs lupa dg sahabatnya bila sudah bertemu teman lama / barunya? #HitamPutihT7
negative,"Baby tatan nangis ngeliat daddy, @HitamPutihT7 #hitamputiht7"
negative,angkat topi dan tundukkan kepala buat mbah simpen #hitamputihtrans7
negative,toleransi umat beragama macam apa yg diterapkan di Serang Banten? Toleransi hanya mitos #hitamPutihT7
negative,suara sang veteran : kalau perlu koruptor di hukum mati! #hitamPutihT7
negative,Turut berduka buat anak nya buk pak #HitamPutihT7
negative,ingin kan hal yg baik tetapi belum tentu semua itu sesuatu yg diharapkan? #moreppie #hitamputihT7
negative,ga tau kenapa semua menjadi buruk ketika kau pergi #moreppie #hitamputihT7
negative,#HitamPutihT7 udah sodok ajah bu haha #TributeToWanitaIndonesia
negative,butuh ketegasan dari pihak masyarakat dan pemerintah kita butuh tindakan bukan hanya ngoceh di medsos #HitamPutihT7 #PollingHitamPutih
negative,hidup itu harus dijalanin bukan dipikirin #hitamputiht7
negative,Pemimpin itu adalah pribadi yang dikorbankan #HitamPutihT7
negative,"Hidup ini dijalanin, bukan dipikirin. Mongol Stres #hitamputiht7"
negative,"#HitamPutihT7 Demo gak akan nyelesaikan masalah, harusnya bermusyawara ajha #HitamPutihT7"
negative,#hitamputihT7 bayangkan kalau seluruh konvensional akan buat online dimana pengusahanya tdk perlu bayar apa2. yg perorangan pasti kalah
negative,"lebih enak taksi konvensional, kalo kita kepepet ada taksi yg lewat langsung kalau nunggu yg online lama. #HitamPutihT7 #OnlineVsKonvension"
negative,#hitamputiht7 apakah ada hal kaya gini di negara lain ? Intinya saya gk setuju usaha kaya gini #OnlineVSKonvensional
negative,"Gak punya Gadget, mahal nipu / gk jelas argonya sering argo kuda dan gak aman pake konvensional #hitamputihtrans7"
negative,"Hidup itu pilihan, jangan pasrah dengan keadaan"
negative,#HitamPutihT7 Gawat darurat tetangga menembaki dg sengaja kucing2 disekitar rumah #komplekrumahelitbandung
negative,"miris sekali liat keadaan hewan yg di aniaya, #HitamPutihT7 #hpsayangbinatang"
negative,"hanya membicarakan permasalahan orang lain, memalukan"
negative,dedy sombong nya keteraluan
positive,"Suka banget nonton #IndonesiaLawyersClub bisa menambah wawasan, bisa belajar cara membicarakan suatu masalah keren @ILC_tvOnenews"
positive,"ngakak, mantap dah pokoknya seru"
positive,RINDU ILC INDOBESIA LAWYERS CLUB DI TVONE
positive,"Indonesia Lawyers Club merupakan program talkshow paling ditunggu pemirsa tvOne, yang membahas topik2 terkini #9TAHUNTVONE"
positive,Selalu kagum dengan Buya Syafii Maarif - ILC tvOne https://youtu.be/gPXSkLtAL5Y
positive,"Saya punya Panglima yang membanggakan, ILC tvOne https://youtu.be/tR2tN1u7eAw"
positive,Rating Indonesia Lawyers Club TV One Langsung Melesat #tvone #setelah411
positive,Sejuk kalo ILC itu kayak gini obrolannya - ILC tvOne
positive,"semuanya nonton tvOne, Indonesia Lawyers Club yuk"
positive,Belajar cara berdebat di bidang hukum #ilc
positive,Selamat tayang kembali Indonesia Lawyers Club tvOne
positive,Ini yg bikin adem Hati.. Aa Gymnastiar #ilc
positive,Ikhlas itu melepaskan dan mendoakan.. #ILC
positive,Bang @karniilyas cerdas ... #ILC hebat
positive,pak Ustadz. keren banget.. #ILC
positive,#ilc saatnya damai bersenandung
positive,Saatnya Damai Bersenandung #ILC dan Pemecah Belah Umat Beragama Dimusnahkan
positive,Semoga makin paham seperti apa sejatinya rupa Indonesia #ILC
positive,ILC malam ini adem #indonesialawyersclub
positive,"Indahnya ILC malam ini, semua pemuka agama saling rangkul dan setuju untuk meninggalkan kasus ahok yang merusak keselarasan bangsa #ILC"
positive,Setuju banget sama bapak ustad #ILC
positive,Top banget Utadz Zaitun Rasmin #ilc
positive,Yuk tonton TVOne selalu menyajikan berita2 obyektif #TVOneSllDihati
positive,#ilc polmart memang bijaksana
positive,Rakyat mendukung KPK usut tuntas kasus e-KTP @karniilyas #ILCTVOne
positive,Acara televisi yang sangat saya suka #ilcTvOne
positive,ga sabar nunggu 2019!!! #ILCTvOne
positive,semangat dan sehat selalu pak karni penonton setia menunggu ILC tayang kembali @karniilyas #ILCtvone
positive,Adem dengerin nasehat dari Aa gym semoga sehat slalu dan dalam lindunganNYA #IslamJagaNKRI @GeneralGatot #ILCtvone
positive,"sangat banyak ilmu yang bisa kita serap di #ILCTVONE semalam, menyejukan"
positive,#ILCtvone bangga kepada #PANGLIMATNI #JendralGatotNurmantyo
positive,Salut dengan komitmen Pak @GeneralGatot tegas berwibawa inilah Jenderal sesungguhnya. #ILC411 #ILCtvone
positive,Hormat jendral... #ilctvone #keren #nextpresiden2019
positive,Aa gym.... Menyejukan mental dan jiwa #ilctvone
positive,Terimakasih buya Syafii @maarifinstitute . Bangga dg kejernihaannya #ilctvone
positive,Penjelasan Kapolri jelas dan tegas. Barakallahu. Mari buka hati #ilctvone  #JagaNKRI
positive,"jika kita memiliki kasih,  seharusnya saling memaafkan jika ada org yg sudah mau minta maaf itu baru keren salut. #ilctvone"
positive,"#Ilctvone @jonru @hafidz_ary @AHMADDHANIPRAST sampe diketawain, krn awalnya kalem diujung keringat dingin matanya merem asli lucu"
positive,Ahmad Dhani ngomong Pasti seru ini.... #ILCTVOne
positive,"Mendengar pendapat pak hasim muzadi sangat menentramkan, keren #ilctvone"
positive,Salut dan hormat utk bang jhonson panjaitan lugas dan masuk akal... #ILCtvone
positive,Kompak dan sama  pembelaan antara BNN n Polisi...  #ilctvone
positive,Keren kali abang pengacara botak ini #ILCTvOne
positive,Jokowi ini org betul2 soleh.. hendropriyono #ilctvone
positive,Top n mencerahkan prof @mohmahfudmd ..! #ilctvone
positive,Media dukung Ahok karena pendapatan iklan dari korporasi juga besar. #ILCtvone
positive,@ILC_tvOnenews keren bikin melek #ilctvone
positive,Salut sama pak Darmawan Salihin...  #ILCTVONE
positive,semga ilc tetap jadi memberikan informasi yang benar
positive,"acara debat yag hebat, keren #ILC"
negative,Yang di tunggu bukan tvshow tapi INDONESIA LAWYERS CLUB. TVshow tidak cocok dengan karakter siaran tvone!
negative,"Indonesia Lawyers Club TvOne malam ini sepertinya batal tayang lagi. memalukan Rezim ini terlalu sakit, sehingga takut http://fb.me/18pYNAcs"
negative,Potensi teroris sangat besar. Jangan bikin pernyataan yg memberi peluang pd teroris #ILC
negative,"Indonesia banyak masalah tp gak ada sikap tegas dr pak presiden, ditanya di demo malah sibuk pencitraan & upload video gak penting! #ILC"
negative,"Kalau melihat acara #ILC Membidik Habieb Rizieq, Habieb ga perlu pulang ke Indonesia. Ga penting. Ga mutu."
negative,"@Busyro_Muqoddas : Minoritas ekonomi kuat menguasai Mayoritas Ekonomi lemah, tidak pernah dibahas inilah sumber radikal miris #ILC @karnii"
negative,sekali lg mengingatkan @aniesbaswedan untuk jaga jarak dg Islamis radikal jika tak ingin melihat bangsa ini hancur. #ILC
negative,omongannya ga menarik. ga berisi. #ILC
negative,Anis difitnah katanya dia... #ILC
negative,Sebuah pertanyaan kepada metromini utk dijadikan metronome yang dibentuk oleh kemacetan yang cukup padat di berikan oleh putra petir. #ilc
negative,"buat para pembela AHOK, Cek cara berpikirnya masa kalah sama ANAK SD. #AhokHarusDipenjara @ILC_tvOnenews #ILC"
negative,@MataNajwa kok kayak provokatif ya pembawa acaranya. Beda kelas dg #ILC @ILC_tvOnenews
negative,"Saya pribadi tdk suka dgn acara Mata Najwa dan ILC, tdk menyelesaikan masalah kayaknya. #matanajwa #ILC"
negative,Benarkah kebohongan yang diulang-ulang... #iLc
negative,Diracun dengan pujian.. #ILC
negative,"males nonton, Topik #ILC ga kekinian."
negative,Meskipun kebohongan itu lari secepat kilat satu waktu kebenaran akan mengalahkannya #ILC
negative,"org yg namanya tampang Nabi tp hati Iblis, sesuai dgn pernyataan pengacara Nazarudin #ILC"
negative,"para pejabat sedang sibuk membicarakan ""HAK ANGKET"", #ILC tv0ne http://fb.me/2RGmoq4cL"
negative,saya paham bahwa saya gagal paham...  #ILC
negative,"ngomong segitu panjang, gak dapet maksudnya mau apa... #aneh #ilc"
negative,"Sumpah liat mukanya #FahriHamzah di #ILC pengen gw lempar pake sepatu, nyebelin bgt"
negative,Percuma pak. fahri dower itu masih sakit hati sama KPK. #ILC
negative,"DPR TERUSIK,KPK DIBIDIK #ILC"
negative,@ReflyHZ Ajarin dewan ttg hak angket !!! #ILC
negative,"Saya rakyat, tp saya jg kadang ga seneng lihat cara nya yg superbodi kok kyknya tebang pilih jg.. #ILC"
negative,#ILC merajut jakarta kembali setelah tercabik cabik karena kepemimpinan masa lalu
negative,"@karniilyas maksudnya, cinta akan uang adalah akar kejahatan #ILCTVOne"
negative,Makin hari makin geram ngeliat tingkah laku dan akhlaq oknum yang mengatasnama kan ISLAM #ILCTVONE
negative,"Pembohongan publik itu, ketika rambut udah putih beruban tapi di cat hitam #ilctvone"
negative,"#MataNajwa meskipun beda kelas sm #ILCTVOne knp masih bebas tanpa pembatalan, Tanya kenapa?????"
negative,"Nonton ILC tokoh betawi bilang, org betawi itu gampang intinya ""bacot lu jaga.."" jadi itulah intinya.. #ilctvone"
negative,"Merajut kembali Jakarta? Gampang kok. ""Bacot lu jaga"" #ILCTVOne"
negative,buya safii maarif yg lebih tua kalah bijak dari nasihat bung eep yg jauh lebih muda #ILCtvOne
negative,Merampas hak dasar sebagai manusia harus batal demi hukum #ILCTvOne
negative,Pihak polisi kasihan jadi terlihat sangat bodoh berhadapan dengan argumentasi hukum dan pakar IT #IlcTvOne
negative,"itu bapak Abi Manyu kasian.... beliau tidak paham WhatsApp, miris #ilctvone"
negative,Bintang #ILCtvOne pun muncul #AaGym Tidak ada partai atau tokoh manapun yang sanggup menggerakkan orang http://fb.me/2WDYOkqZU
negative,"Menghimbau jangan terprovokasi, tp memantik kebencian.. Tidak meneduhkan tp membuat mendung.. #ILCTvOne"
negative,Tindakan anarkis pada saat aksi bukan oleh pendemo #ILCTvOne #SaveHmI
negative,"Sepenting apapun itu, ingat kita akan mati seram #ILCtvone"
negative,"siapa lagi? ketua preman pasar ikutan ngomong, memalukan #ILCtvone"
negative,"jgn krn cuma jaga moral dr konten porno, negara ini darurat radikalisme mau tunggu perang kyk di suriah baru kpi sadar? #ILCTVONE"
negative,kami butuh fakta bukti bukan hanya ngomong kebohongan #ILCTVOne
negative,Kasian ya yg bapak2 berpeci pake batik merah tadi air mata nya dikeluarin cuma krn ahoax #miris #ILCtvone
negative,"Syaiton itu musuhmu, jgn dijadikan sbg teman Manusia bs kesetanan tp setan tdk bs kemanusiaan... #insyaflahwahaimanusia #ILCtvone"
negative,"#ILCtvone mendengar cerita bu marwah aku merasa bodoh, memalukan"
negative,#ILCTVONE ini bang gaya nya benar2 pemikiran liberal miris sekali
negative,Sesat pikir para pengamat #taxamnesti #ILCtvone
negative,berbicara kelamaan ribet #ILC
positive,"ih lucu, mas kick andy nya senyum2 aja"
positive,nonton pak hasan Merkids di kick andy sangat menginspirasi salut pak hasan
positive,cara Ubah Mimpimu Jadi Tindakan Kick Andy
positive,Kickandy gokil #kickandy
positive,"Terima kasih sudah menonton acara #kickandy eps ubah mimpimu jadi tindakan, semoga bermanfaat"
positive,Temukan lentera jiwamu #kickandy #mahasiswaum
positive,Agung.. Saya akan undang lagi.. Untuk bercerita banyak tentang perjalanan kehidupanmu.. #KickAndy
positive,PARA MUSISI YG MENGGELORAKAN SEMANGAT NASIONALISME DAN KEBHINEKAAN UNJUK GIGI #KICKANDY NKRI HARGA MATI...
positive,Anak2 mulai berimajinasi. #kickandy
positive,CARA GILA MENDAKI GUNUNG #KickAndy Luar Biasa Mantap Jiwa
positive,sayangilah alam niscaya alam akan menyayangimu #kickAndy
positive,mantan narapidana pun dirangkulnya untuk dicarikan pekerjaan untuk menjalani hidup yg lbh baik lagi
positive,Agung @eevnxx mampu membuktikan sebuah karya yg mengagumkan bisa dihasilkan dgn belajar scr otodidak
positive,Salah satu kejadian yang membuat penonton tertawa saat agung hapsah muncul #KickAndy
positive,Agung akan diundang  Untuk bercerita banyak tentang perjalanan kehidupanmu.. #KickAndy
positive,Jatuh lalu bangkit Untuk membantu sesama #Kickandy
positive,Rasa bangga itu ada setelah saya bs menyumbang karya kecil buat NKRI Ronny #KickAndy patut acungi jempol
positive,"Sahabat Gimbal Alas, nanti malam jangan lupa ya nonton #KickAndy Cara Gila Mendaki Gunung ala Cak Tarpin"
positive,"Hanya orang takut yang bisa berani, karena keberanian http://ekhs7903.m.nomor1.com/ekhs7903/menulis-adalah-kesenangan-saya.htm … #kickandy"
positive,#kickandy Anda hanya dekat dengan mereka yang Anda sukai. Dan Anda menghindari orang yag tidak Anda sukai
positive,Anak 16Th yang berfikir dewasa mampu mampu membiyayai sekolahnya sendiri dengan cara membajak sawah #kickandy @Metro_TV @MetroTVToday
positive,"kangen lagi nonton #kickandy sama ayah, ayah langsung bilang seharusnya kamu bersyukur"
positive,#kickandy @KickAndyShow siang ini jg jadi ajang reuni sahabat kosti DKI dan kosti Jateng
positive,Bapak ku lucu ya #kickandy
positive,"besok pagi harus UTS, jd pulang duluan cuma poto bareng gambarnya #kickandy @KickAndyShow"
positive,Bahagianya Masuk Tv bersama Kawan #kickandy @ Kick Andy… https://www.instagram.com/p/BTGua2KhkXQ/
positive,Keren dan kocak nih tamu #kickAndy mereka-mereka yg memang lomba design yg berasal dari Malang
positive,"lucu ni bapak, bikin ketawa terus persis kayak di tv #kickandy http://ift.tt/2o1rW9W"
positive,Terima Kasih #kickandy sudah menginspirasi saya membuka mata banyak orang karena kesetiaan yang teruji itulah Cinta yang sesungguhnya
positive,Cinta itu agung. Tuhan itu luar biasa. #KickAndy
positive,riasan terbaik seorang wanita adalah semangat dan rasa percaya dirinya.. #kickandy
positive,Nonton #kickandy. Menginspirasi sekali
positive,"#kickandy kita mendukung Ahok, karena orang baik @KickAndyShow @Metro_TV"
positive,Mantap pak ahok #kickandy
positive,Manusia bersih pasti berani #KickAndy #TamuAhok
positive,Suka dengan nasehat Pak Analta Amir yg meminta Ahok menyaring ucapan #kickand
positive,"Nonton #kickandy Menarik, membuka pikiran menginspirasi. Sukses selalu"
positive,inilah jagoan saya!! hahahaha #kickandy
positive,Salut lah sama orang2 kek gitu #kickandy
positive,@KickAndyShow semoga tambah ok dan panjang umur. semoga acara nanti malam lancar #kickandy
positive,Ajang orang-orang saling menginspirasi. #kickandy #kickandyheroes2017
positive,"Suara Penta Boys ini memang keren banget, pantas jadi juara 1 di Rumania #KickAndy"
positive,penta Boys ini masih eksis saja dan saya suka suara mereka. Keren #KickAndyp
positive,"Rupanya, terselip beberapa detik di Kick Andy. Keren dan luar biasa"
positive,Terimakasih #kickAndy
positive,Tayangan yang sangat inspiratif yang banyak memberi motivasi kepada kita untuk lebih bisa mencintai orang-orang disabilitas #kickandy
positive,"perjuagan mereka istimewa, krn mampu menembus keterbatasan sbg rasa syukur pada Allah sangat menginspirasi. #KickAndy"
positive,Syukurilah atas kehidupanmu saat ini #kickandy
positive,"Acara yang sangat menginspirasi sekali, salut #kickandy"
positive,"suka dengan semua tamu yang diundang, pasti menginspirasi #kickandy"
negative,kalo udah di puncak jangan lupa sampahnya di bawa turun lagi karena alam bukan tempat nyampah stop nyampah di gunung #kickandy
negative,RT @KickAndyShow: 61 WNA terancam dideportasi dan lia @gracialia terancam dipidanakan
negative,Lebih baik menyalakan lilin daripada mengumpat kepada kegelapan #pejuangtangguh #kickandy
negative,"aku ga mau bohongi diri sendiri. Gimbal Alas, Malang. #kickandy"
negative,sampan tidak akan dapat belayar di padang pasir betapa pun jua emp http://ilha8253.m.nomor1.net/ilha8253/1001-burung-kertas.htm … #kickandy
negative,"Bila kita mencari uang, kita akan dipaksa mengupayakan jangan malas http://ln.is/m.nomor1.com/KfMAp … #kickandy"
negative,"Dalam hidup, terkadang kita lebih banyak mendapatkan apa yang tidak kita inginkan #NOMOR1.net #kickandy"
negative,"Cobaan suami saat istri sakit, cobaan istri saat suami gak punya duit miris #kickandy"
negative,"Terharu mendengar puisi ""Perempuan yang tak berhenti terjaga"" dari anak-anak Ibu Shinta Nuriyah, miris #kickandy"
negative,"anak itu milik berdua, bukan milik salah satu bantulah istri mengasuh anak seperti itu #Gusdur #kickandy"
negative,"ujian suami adalah saat istri sakit, dan ujian istri adalah saat suami tidak punya apa-apa #kickandy"
negative,#kickandy Bung Andy cuma mampir dgn gaya remaja sbg idola remaja dan tidak sempat beli
negative,"Kelemahan Anda hanyalah sementara, karena Anda sedang memperkuatnya tetapi bila Anda jadi #tekcmi144 #kickandy"
negative,Kekuatan terbesar yang mampu mengalahkan stress adalah kemampuan memilih pikiran yang tepat. kita akan #hermafik95 #kickandy
negative,Itu yg saya kesel. Coba kalo sodara km ngantri ke kanker. Coba km rasain. Kok bs gitu fitnah org. #KickAndy #SuaraHatiAhok
negative,"Klo pulang ke rumah, mati. Ga ada yg urus. Miskin kok. Kita mw taruh dia di apartemen #KickAndy #SuaraHatiAhok"
negative,Kalo dia berantem tdk ada telor busuk diketeknya #kickandy #pilkadadki
negative,Pak @basuki_btp mukanya sedih banget pas kakak2 angkatnya ngomong. #kickAndy
negative,Andy terlihat kaku dan jaga sikap saat mengundang Ahok menjadi tamu. Mungkin agar terlihat lebih formal #kickandy
negative,Makin stress makin ngantuk #ahok #kickandy
negative,"Jangan melihat orang dari cover nya aja, tapi lihat lah dia dari sisi lain nya. Fisik bisa saja sm namun isinya berbeda. #KickAndy"
negative,kayak gajah yg dibilang psikolog di @Metro_TV #KickAndyMetroTv
negative,Jangan di bakarin dong pak andy @KickAndyShow #kickandymetrot
negative,bikin sakit perut nonton kisah sarjana tertua di indonesia.. #KickAndyMetroTv
negative,Pekerjaan yg tdk sesuai dengan kualifikasi pendidikannya #KickAndyMetroTV
negative,"Tp ttp tdk msk surga, jd ibadahnya sia2 hahaah RT @melanjhe: sp bilang orang bertato tdk boleh beribadah?!? #kickandymetrotv"
negative,orang bertato tdk boleh beribadah?!? #kickandymetrotv
negative,Apakah kamu bodoh? Tidak!.. Kamu di bodohi oleh suatu sistem Mike-marjinal @kickandymetrotv
negative,"Gimana soal UN g bs bocor, pertanyaan Malaikat di alam kubur aja udah bocor. #KickAndyMetroTV"
negative,Masa ada anak lulus dg nilai palingg tinggi dan lulus SNMPTN Undangan bidik misi pdhl dia susah sekali... @SBYudhoyono #kickandymetrotv
negative,"Orang Belanda aja peduli sama orang2 indonesia yg berada d daerah terisolir, gimana dg pemerintah indonesia? Zhonk kickandyMetroTV"
negative,Merinding deh nonton #KickAndyMetroTV
negative,Indonesia2. Bahkan kita dididik untuk menjadi rusak.. #kickandymetrotv
negative,Parahnya kualitas pendidikan di Indonesia  #kickandymetrotv
negative,demi apapun ya kick andy sekarang botak?  #kickandymetrotv
negative,jadi merasa malu krn kalah dari org yg tdk sempurna tapi mempunyai yg lebih dari org sempurna #kickandymetrotv
negative,Hukum di Indonesia masih jauh dari kata ADIL #KickAndyMetroTV
negative,"aku kira makin tua makin keladi, malah jd macan ompong. Melempem. kecewa liat amin rais di @kickandymetrotv"
negative,"#kickAndyMetroTV MEDIA harus mengisi lebih banyak ttg kisah sukses di TV, bukan gosip berita rusuh & acara2 GG JELAS tai kucing!! #CATET"
negative,"#kickAndyMetroTV jika ingin dihargai orang, hargailah orang lain juga"
negative,Dibawah sana banyak yg lebih sulit jangan banyak mengeluh #kickandymetrotv
negative,"Hidup adalah  perjuangan yang melelahkan, capek #kickandy"
negative,Orang-orang yang berhenti belajar akan menjadi bodoh  #kickandy http://untub6158.m.humandesignindonesia.com/untub6158/rahasia-dalam-memikat-
negative,"Ambillah waktu untuk berfikir, jangan jadi perusak #kickandy http://koepb3112.m.networknumberone.com/koepb3112/tak-ada-yang-berubah-meski-sa"
negative,miris ketika melihat banyak perusak di indonesia #kickandy
negative,sistem Mike-marjinal banyak membodohi orang #kickandy
negative,stress melihat semua kekacauan yang ada #kickandy
negative,"kesel banget, coba kalian ada di posisi pak ahok #kickandy"
negative,"coba pulang kerumah, mati. Ga ada yg urus. Miskin kok. Kita akan taruh dia di apartemen #KickAndy #SuaraHatiAhok"
negative,"tidak ada orang bodoh, yang ada hanya orang malas"
positive,"Setuju. Al misbah, mata najwa dan kick andy program favorit"
positive,Metro_TV Mata Najwa: Pancasila Punya Kita http://metrotvn.ws/zNAj3qeb
positive,"Selera gue ini gatau akhir2 ini suka banget nonton metro tv kalo ga kick andy mata najwa, selera menua"
positive,Mantap Mata Najwa. Pasti seru nih
positive,Sahabat2.. yuk nonton Mata Najwa di Metro TV bersama Ketua Umum DPP PKB
positive,Suarakan terus kebenaran Mata Najwa
