Sentiment,tweet_tokens_stemmed
negative,hidup pilih pasrah
negative,gawat darurat tetangga tembak sengaja kucing sekitar rumah
negative,miris liat hewan aniaya
negative,bicara masalah malu
negative,dedy sombong alu
positive,suka banget nonton tambah wawas ajar bicara keren tvonenews
positive,ngakak mantap pokok seru
positive,rindu ilc indobesia lawyers club tvone
positive,indonesia lawyers club program talkshow tunggu pirsa tvone bahas topik kini
positive,kagum buya syafii maarif ilc tvone
positive,panglima bangga ilc tvone
positive,rating indonesia lawyers club tv one lesat
positive,sejuk ilc gin obrol ilc tvone
positive,nonton tvone indonesia lawyers club
positive,ajar debat bidang hukum
positive,selamat tayang indonesia lawyers club tvone
positive,adem hati gymnastiar
positive,ikhlas lepas doa
positive,bang cerdas hebat
positive,ustadz keren banget
positive,damai senandung
positive,damai senandung pecah belah umat agama musnah
positive,moga paham sejati indonesia
positive,ilc malam adem
positive,indah ilc malam muka agama rangkul tuju tinggal ahok rusak selaras bangsa
positive,tuju banget ustad
positive,top banget utadz zaitun rasmin
positive,tonton tvone saji berita obyektif
positive,polmart bijaksana
positive,rakyat dukung kpk usut tuntas ektp
positive,acara televisi suka
positive,sabar nunggu
positive,semangat sehat karni tonton setia tunggu ilc tayang
positive,adem dengerin nasehat gym moga sehat slalu lindung
positive,ilmu serap malam sejuk
positive,bangga
positive,salut komitmen wibawa jenderal sungguh
positive,hormat jendral
positive,gym sejuk mental jiwa
positive,terimakasih buya syafii bangga kejernihaannya
positive,jelas kapolri barakallahu mari buka hati
positive,milik kasih maaf maaf keren salut
positive,ary sampe diketawain kalem ujung keringat dingin mata merem asli lucu
positive,ahmad dhani ngomong seru
positive,dengar dapat hasim muzadi menentramkan keren
positive,salut hormat bang jhonson panjaitan lugas akal
positive,kompak bela bnn polisi
positive,keren abang acara botak
positive,jokowi soleh hendropriyono
positive,top cerah prof
positive,media dukung ahok dapat iklan korporasi
positive,tvonenews keren melek
positive,salut darmawan salihin
positive,semga ilc informasi
positive,acara debat yag hebat keren
negative,tunggu tvshow indonesia lawyers club tvshow cocok karakter siar tvone
negative,indonesia lawyers club tvone malam batal tayang malu rezim sakit takut
negative,potensi teroris nyata peluang teroris
negative,indonesia sikap presiden demo sibuk citra upload video
negative,acara bidik habieb rizieq habieb pulang indonesia mutu
negative,muqoddas minoritas ekonomi kuat kuasa mayoritas ekonomi lemah bahas sumber radikal miris
negative,jaga jarak islamis radikal bangsa hancur
negative,omong tarik isi
negative,anis fitnah
negative,metromini jadi metronome bentuk macet padat putra petir
negative,bela ahok cek pikir kalah anak sd tvonenews
negative,provokatif bawa acara beda kelas tvonenews
negative,pribadi suka acara najwa ilc selesai kayak
negative,bohong diulangulang
negative,racun puji
negative,males nonton topik kini
negative,bohong lari cepat kilat benar kalah
negative,nama tampang nabi hati iblis sesuai nyata acara nazarudin
negative,jabat sibuk bicara hak angket tvne
negative,paham gagal paham
negative,ngomong segitu dapet maksud
negative,sumpah liat muka ken lempar pake sepatu nyebelin
negative,fahri dower sakit hati kpk
negative,dpr terusikkpk bidik
negative,ajarin dewan hak angket
negative,rakyat kadang neng superbodi kyknya tebang pilih
negative,rajut jakarta cabik cabik pimpin
negative,maksud cinta uang akar jahat
negative,geram ngeliat tingkah akhlaq oknum mengatasnama islam
negative,bohong publik rambut putih uban cat hitam
negative,beda kelas sm knp bebas batal
negative,nonton ilc tokoh betawi betawi gampang inti bacot jaga inti
negative,rajut jakarta gampang bacot jaga
negative,buya safi maarif tua kalah bijak nasihat eep muda
negative,rampas hak dasar manusia batal hukum
negative,polisi kasihan bodoh hadap argumentasi hukum pakar
negative,abi manyu kasi beliau paham whatsapp miris
negative,bintang muncul partai tokoh mana sanggup gerak
negative,menghimbau provokasi mantik benci teduh mendung
negative,tindak anarkis aksi demo
negative,penting apa mati seram
negative,ketua preman pasar ikut ngomong malu
negative,jaga moral konten porno negara darurat radikalisme tunggu perang kyk suriah kpi sadar
negative,butuh fakta bukti ngomong bohong
negative,kasi peci pake batik merah air dikeluarin ahoax
negative,syaiton musuh jadi teman manusia setan setan manusia
negative,dengar cerita bu marwah bodoh malu
negative,bang gaya pikir liberal miris
negative,sesat pikir amat
negative,bicara ribet
positive,lucu kick andy senyum
positive,nonton hasan merkids kick andy inspirasi salut hasan
positive,ubah mimpi tindak kick andy
positive,kickandy gokil
positive,terima kasih tonton acara eps ubah mimpi tindak moga manfaat
positive,temu lentera jiwa
positive,agung undang cerita jalan hidup
positive,musisi gelora semangat nasionalisme kebhinekaan unjuk gigi nkri harga mati
positive,anak imajinasi
positive,gila daki gunung mantap jiwa
positive,sayang alam niscaya alam sayang
positive,mantan narapidana rangkul cari kerja jalan hidup
positive,agung bukti karya kagum hasil ajar scr otodidak
positive,salah jadi tonton tertawa agung hapsah muncul
positive,agung undang cerita jalan hidup
positive,jatuh bangkit bantu
positive,bangga sumbang karya nkri ronny patut acung jempol
positive,sahabat gimbal alas malam lupa nonton gila daki gunung ala cak tarpin
positive,takut berani berani
positive,suka hindar yag suka
positive,anak berfikir dewasa membiyayai sekolah bajak sawah tv
positive,kangen nonton ayah ayah syukur
positive,siang ajang reuni sahabat kosti dki kosti jateng
positive,ku lucu
positive,besok pagi uts pulang duluan poto bareng gambar
positive,bahagia tv kawan kick andy
positive,keren kocak tamu merekamereka lomba design asal malang
positive,lucu ketawa persis tv
positive,terima kasih inspirasi buka setia uji cinta sungguh
positive,cinta agung tuhan
positive,rias baik wanita semangat percaya
positive,nonton inspirasi
positive,dukung ahok tv
positive,mantap ahok
positive,manusia bersih berani
positive,suka nasehat analta amir ahok nyaring ucap
positive,nonton tarik buka pikir inspirasi sukses
positive,jago hahahaha
positive,salut
positive,moga umur moga acara malam lancar
positive,ajang orangorang inspirasi
positive,suara penta keren banget juara rumania
positive,penta eks suka suara keren
positive,selip detik kick andy keren
positive,terimakasih
positive,tayang inspiratif motivasi cinta orangorang disabilitas
positive,perjuagan istimewa tembus batas syukur allah inspirasi
positive,syukur hidup
positive,acara inspirasi salut
positive,suka tamu undang inspirasi
negative,puncak lupa sampah bawa turun alam nyampah stop nyampah gunung
negative,wna ancam deportasi lia ancam pidana
negative,nyala lilin umpat gelap
negative,bohong gimbal alas malang
negative,sampan bayar padang pasir betapa jua emp
negative,cari uang paksa upaya malas
negative,hidup terkadang net
negative,coba suami istri sakit coba istri suami duit miris
negative,haru dengar puisi perempuan henti jaga anakanak shinta nuriyah miris
negative,anak milik dua milik salah bantu istri asuh anak
negative,uji suami istri sakit uji istri suami
negative,andy mampir gaya remaja idola remaja beli
negative,lemah kuat
negative,kuat besar kalah stress mampu pilih pikir
negative,kesel coba sodara ngantri kanker coba rasain fitnah
negative,pulang rumah mati urus miskin taruh apartemen
negative,antem telor busuk ketek
negative,btp muka sedih banget pas kakak angkat ngomong
negative,andy kaku jaga sikap undang ahok tamu formal
negative,stress ngantuk
negative,cover sisi fisik sm isi beda
negative,gajah bilang psikolog tv
negative,bakarin andy
negative,sakit perut nonton kisah sarjana tua indonesia
negative,kerja sesuai kualifikasi didik
negative,ttp msk surga ibadah sia hahaah sp tato ibadah
negative,tato ibadah
negative,bodoh bodoh sistem mikemarjinal
negative,bocor malaikat alam kubur bocor
negative,anak lulus nilai palingg lulus snmptn undang bidik misi pdhl susah
negative,belanda peduli indonesia daerah isolir perintah indonesia zhonk kickandymetrotv
negative,merinding nonton
negative,indonesia didik rusak
negative,parah kualitas didik indonesia
negative,apa kick andy botak
negative,malu kalah sempurna sempurna
negative,hukum indonesia adil
negative,tua keladi macan ompong melempem kecewa liat amin rais
negative,media isi kisah sukses tv gosip berita rusuh acara gg tai kucing
negative,harga harga
negative,bawah sulit keluh
negative,hidup juang lelah capek
negative,orangorang henti ajar bodoh
negative,ambil berfikir usak
negative,miris usak indonesia
negative,sistem mikemarjinal bodoh
negative,stress kacau
negative,kesel banget coba posisi ahok
negative,coba pulang rumah mati urus miskin taruh apartemen
negative,bodoh malas
positive,tuju misbah najwa kick andy program favorit
positive,metrotv najwa pancasila
positive,selera gue gatau suka banget nonton metro tv kick andy najwa selera tua
positive,mantap najwa seru
positive,sahabat nonton najwa metro tv ketua dpp pkb
positive,suara benar najwa
positive,selamat keluarga tv prestasi dialog keren rugi lewat nonton najwa
positive,matanajwa moga acara najwa metro tv acara favorit jaya kualitas
positive,menang najwa tv dukung najwa program tv baik
positive,najwa metrotv inspiratif
positive,tentram bahagia nonton najwa tv
positive,najwa keren acara mata tajam silet
positive,najwa malam kayak seru banget
positive,najwa keren mantap
positive,keren tampil kandang lawan anies baswedan gemilang najwa metro tv
positive,romantis muas pirsa najwa sukses
positive,tarik ikut diskusi ahok anis najwa
positive,ahok pinter hebat debat acara najwa metro tv
positive,najwa metro tv pihak paslon untung ahok cerdas semangat allah sama
positive,bukti najwa ahok hebat anis insaallah ahok jarot menang
positive,sip keren debat ala najwa keren ala kpud atur jaim
positive,moga jokowi acara najwa pelosok atas
positive,keren najwa
positive,metro tv keren inspiratif najwa kick andy
positive,metro tv emang tv keren edukatif inspirasi najwa kick andy
positive,pimpin cerdas santun jujur bersih pilih aniessandipemersatu
positive,liat pimpin islami cerdas teladan
positive,rame banget malam tunggu topik seru nambah wawas
positive,kado indah malam matanajwametrotv
positive,tjokro rumah teladan senioritas hidup kerdil
positive,semangat bp bambang woidjojayanto
positive,ajar gusdur matanajwametrotv
positive,najwa sus bpk dahlan bpk faisal basri inspiratif
positive,metro tv keren malam malam minggu rugi nonton najwa
positive,merdeka hak bangsa
positive,seru najwa malam
positive,salut ahok
positive,super salut ahok
positive,matanajwametrotv wibawa kataberkuasa sederhana kagum
positive,salut bangga sm bj habibie sekian kali
positive,obrol santai tarik abraham slamet jk jokowi anis baswedan ganjar
positive,anis baswedan jokowi ganjar pranowo jk abraham samad inspirasi indonesia keren
positive,pimpin
positive,rendah sederhana jokowi patut tiru
positive,seru dahlan iskan ketua dpr
positive,desa bebas rokok inspirasi
positive,inspirasi cinta bjh hab
positive,inspirasi
positive,narasumber
positive,job
negative,nonton najwa radikalisme tv berita seram
negative,najwa acara sampah cuman keruh suasana gue ajar mending pilih ilc tv
negative,aneh acara najwa metrotv ajar islam umat islam islamis edan tokoh islam manggut
negative,ilc dingin najwa provokasi metro tv emang tv sampah bosan pojok islam metro tv usak pancasila
negative,lapor metro tv kpi metro stres najwa kalah ilc
negative,kecewa najwa malam mutu narasi najwa bukti ngerti pihak bodoh
negative,tv acara najwa host suka sela bicara selesai sopan
negative,emosi sakit hati nonton najwa tv ganti chanel masakan
negative,isis mimin bom kp melayu maaf isis organisasi organisasi mbak najwa mimin
negative,foto jk integritas rusak reputasi najwa
negative,gara bantai teman anggota dpr najwa benci metro tv
negative,tv muak sombong fz acara live najwa
negative,males tv nomor dunia ogah tv bawa acara najwa dicontreng hitam
negative,sering tv gaul najwa engga diapaapain ngadu
negative,najwa metro tv anis fitnah
negative,mui keluar fatwa haram korupsi undang petinggi mui najwa
negative,bravo najwa debat pilgub dki garingkalah matanajwa gali tv
negative,kasihan pas debat najwa metrotv basuki nang bayang kemarin debat
negative,acara najwa kasihan anies bulan medsos hujat
negative,nyetel metro tv najwa debat kemaren kesel rumah coba cek rumah webnya
negative,sandi muncul cawagub metro tv acara najwa sandi bohong
negative,saksi kejut dukung anies tipu acara najwa tipu tv
negative,kandang ahok metro tv najwa sampah sera anies pilih
negative,boikot metrotv ngintip najwa
negative,malas anies bawa sial ahok najwa
negative,nonton najwa tv liat anies ngomong ngantuk
negative,najwa tuduh jelek lawan fon lawan
negative,liat najwa tv males diskusi btp imbang salah satu jual mimpi
negative,kayak najwa adu domba cagub putar pilkada dki
negative,penjara saksi palsu ahok
negative,anis anis rekam thn simpan sm metrotv malu nelen ludah sendri
negative,bagus apa sistem jalan sistem
negative,ridwan bae tai tampang ngeselin ayo mbk nana bully bae
negative,miris liat atur skor sepakbola indonesia
negative,pemuda perang lawan jajah pemuda lawan biasa buruk kunjung ubah
negative,pasrah tai
negative,kerjan
negative,pssi lacur hati nurani malu
negative,jembatan comal akibatya padat rayap
negative,tegak langgar hukum bayar seragam tegak hukum rimba
negative,wapresnya diketawain mulu bajusama staff hotel celana robek
negative,pimpin mendongrak kokoh materi
negative,tonton dalam ubah ahok matanajwametrotv
negative,lembaga negara indonesia bobrok
negative,tolol bilang duga udh mencak sangka
negative,banget kesel debat pake emosi gin
negative,miskin miskin sekolah pungut liar
negative,emosi cepat tua nonton emosi bicara
negative,tampil kyk preman tau bkin kisruh usak
negative,berbelitbelit muter buang mutu
